group,n_agents,avg_contribution,avg_payoff,avg_wealth,avg_reputation,avg_punishments_received,total_ldf_contrib,total_ldf_payout
developed,12,1730.8556,1246172.0294,1246172.0294,5.9016,421.5,34374.4682,94.2629
developing,14,808.3143,224392.4844,224392.4844,5.3084,0.0,125.8977,329.92
