event_family,institution,n,mean_delta,ci_lo,ci_hi,frac_positive,cohens_d_vs_zero
bad_rep,SI,36,-0.03585861321347311,-0.2439696783630399,0.14581452239584908,0.3888888888888889,-0.059290353646949095
bad_rep,SFI,68,-0.10272822095618256,-0.5361030052959397,0.3086841044870632,0.38235294117647056,-0.05698293149121
bad_rep,ALL,104,-0.07958104904524467,-0.36538584600154767,0.19950573922657872,0.38461538461538464,-0.05317914453851218
rep_drop,SI,74,-0.09050781614998207,-0.2172311111368725,0.021953382913762292,0.32432432432432434,-0.17020912507463798
rep_drop,SFI,81,-0.11898861411360102,-0.39007551888929004,0.11295007216749955,0.30864197530864196,-0.10386000021010634
rep_drop,ALL,155,-0.1053913299245184,-0.2561161109105433,0.024360202522016382,0.3161290322580645,-0.11666464138840026
gossip_target,SI,35,-0.047752394718707326,-0.26460239459578955,0.14421556400438143,0.3142857142857143,-0.07762155387672537
gossip_target,SFI,52,-0.2012430521708834,-0.7622034682053993,0.32312114267931624,0.3076923076923077,-0.10086511706817938
gossip_target,ALL,87,-0.139493937103916,-0.49149178416771383,0.18735240024378952,0.3103448275862069,-0.08794263817798686
