event_family,affected_mean_delta,control_mean_delta,did_round_mean,did_ci_lo,did_ci_hi,did_pooled,cohens_d_aff_vs_ctrl,perm_p_two_sided,n_rounds,n_affected_agent_rounds,n_control_agent_rounds
bad_rep,-0.07958104904524467,0.01379444713864875,-0.28768844240737995,-0.8599341693194553,0.20298602115226907,-0.09337549618389342,-0.10374342766118753,0.0154,27,104,650
gossip_target,-0.139493937103916,0.019229286457956424,-0.2078447345068013,-0.6009814228919478,0.188725819304467,-0.15872322356187243,-0.1765147546184205,0.0388,28,87,667
rep_drop,-0.10539132992451844,0.028423401799192987,-0.14262844370705002,-0.29127358675588777,-0.016829041561250466,-0.13381473172371142,-0.14884679700919146,0.0718,28,155,599
