agent_id,institution_choice,delta_r5,delta_r10,r5_up,r10_up,cell
0,SI,0.0,1.346025871309226,0,1,down_up
1,SFI,0.3278917664878501,-0.158756072964081,1,0,up_down
2,SFI,0.0002773125969009,-0.005780954887592796,1,0,up_down
3,SFI,0.3132168452255685,0.24360236990068712,1,1,up_up
4,SI,0.2437326411396893,-0.4093084781700441,1,0,up_down
5,SFI,0.5309166412332313,-0.3301704264273691,1,0,up_down
6,SI,0.2038543273337925,-0.030468318407663175,1,0,up_down
7,SI,-0.011682267057778195,-0.3210642084549705,0,0,down_down
8,SFI,0.3674038351253167,-0.0143066289676731,1,0,up_down
9,SFI,-0.2469912969585878,3.036774006190534,0,1,down_up
10,SFI,-2.3306028312334988,0.2489560626441231,0,1,down_up
11,SFI,0.1378347606814571,-0.06750384055523459,1,0,up_down
12,SFI,-1.2293537438572935,-0.5338211950655093,0,0,down_down
13,SFI,-1.943479670024597,-0.08757813763030992,0,0,down_down
14,SI,0.022413782507437807,-0.08397483732449151,1,0,up_down
15,SFI,0.053312111129492024,0.0,1,0,up_down
16,SFI,1.6001239596704069,-0.573910676542303,1,0,up_down
17,SFI,0.305702412485334,2.346062951697448,1,1,up_up
18,SI,0.013481092754409008,-0.003964637276441113,1,0,up_down
19,SI,-1.3663240099117515,0.022503677349612006,0,1,down_up
20,SI,0.0626820559700656,-0.14169809743778594,1,0,up_down
21,SI,-0.6110343078196887,0.0352592924630727,0,1,down_up
22,SI,0.8751024060221924,-0.08407592738902864,1,0,up_down
23,SFI,-0.2210944859287888,-0.3807549064349211,0,0,down_down
24,SI,-0.1526350345069742,-0.46550898302691934,0,0,down_down
25,SI,0.15606536062047294,-0.536933677626279,1,0,up_down
