agent_id,institution_choice,agent_group,event_round,event_types,reputation,reputation_delta,horizon,prop_at_event,prop_after_mean,delta_prop,contrib_at_event,contrib_after_mean,delta_contrib,n_post_rounds
2,SFI,developing,3,bad_rep|rep_drop|gossip_target,1.0,-4.0,imm,4.228752153161364,0.0,-4.228752153161364,1000364.0,0.0,-1000364.0,1
2,SFI,developing,3,bad_rep|rep_drop|gossip_target,1.0,-4.0,short,4.228752153161364,0.1314529238785914,-4.097299229282772,1000364.0,150000.0,-850364.0,2
2,SFI,developing,3,bad_rep|rep_drop|gossip_target,1.0,-4.0,med,4.228752153161364,0.08772772011802789,-4.141024433043336,1000364.0,100166.66666666667,-900197.3333333334,3
2,SFI,developing,5,bad_rep|rep_drop|gossip_target,1.0,-4.24,imm,0.2629058477571828,0.0002773125969009,-0.2626285351602819,300000.0,500.0,-299500.0,1
2,SFI,developing,5,bad_rep|rep_drop|gossip_target,1.0,-4.24,short,0.2629058477571828,0.33897875436458347,0.07607290660740068,300000.0,500250.0,200250.0,2
2,SFI,developing,5,bad_rep|rep_drop|gossip_target,1.0,-4.24,med,0.2629058477571828,0.2725877920552409,0.009681944298058132,300000.0,433500.0,133500.0,3
2,SFI,developing,13,bad_rep|rep_drop|gossip_target,1.0,-4.0,imm,0.0,0.0141555739576244,0.0141555739576244,0.0,143786.0,143786.0,1
2,SFI,developing,13,bad_rep|rep_drop|gossip_target,1.0,-4.0,short,0.0,0.0070777869788122,0.0070777869788122,0.0,71893.0,71893.0,2
2,SFI,developing,13,bad_rep|rep_drop|gossip_target,1.0,-4.0,med,0.0,0.008368321823399099,0.008368321823399099,0.0,95857.33333333333,95857.33333333333,3
2,SFI,developing,14,bad_rep|gossip_target,1.36,0.3600000000000001,imm,0.0141555739576244,0.0,-0.0141555739576244,143786.0,0.0,-143786.0,1
2,SFI,developing,14,bad_rep|gossip_target,1.36,0.3600000000000001,short,0.0141555739576244,0.00547469575628645,-0.00868087820133795,143786.0,71893.0,-71893.0,2
2,SFI,developing,14,bad_rep|gossip_target,1.36,0.3600000000000001,med,0.0141555739576244,0.0036497971708576334,-0.010505776786766766,143786.0,47928.666666666664,-95857.33333333334,3
2,SFI,developing,16,bad_rep|rep_drop|gossip_target,1.36,-3.64,imm,0.0109493915125729,0.0,-0.0109493915125729,143786.0,0.0,-143786.0,1
2,SFI,developing,16,bad_rep|rep_drop|gossip_target,1.36,-3.64,short,0.0109493915125729,0.0,-0.0109493915125729,143786.0,0.0,-143786.0,2
2,SFI,developing,16,bad_rep|rep_drop|gossip_target,1.36,-3.64,med,0.0109493915125729,0.0,-0.0109493915125729,143786.0,0.0,-143786.0,3
2,SFI,developing,18,bad_rep|rep_drop|gossip_target,1.0,-4.0,imm,0.0,0.0,0.0,0.0,0.0,0.0,1
2,SFI,developing,18,bad_rep|rep_drop|gossip_target,1.0,-4.0,short,0.0,2.3257077694632713,2.3257077694632713,0.0,8663853.5,8663853.5,2
2,SFI,developing,18,bad_rep|rep_drop|gossip_target,1.0,-4.0,med,0.0,1.7605320589377016,1.7605320589377016,0.0,7017653.666666667,7017653.666666667,3
2,SFI,developing,19,bad_rep|gossip_target,1.36,0.3600000000000001,imm,0.0,4.651415538926543,4.651415538926543,0.0,17327707.0,17327707.0,1
2,SFI,developing,19,bad_rep|gossip_target,1.36,0.3600000000000001,short,0.0,2.6407980884065525,2.6407980884065525,0.0,10526480.5,10526480.5,2
2,SFI,developing,19,bad_rep|gossip_target,1.36,0.3600000000000001,med,0.0,1.922103450217134,1.922103450217134,0.0,8017653.666666667,8017653.666666667,3
2,SFI,developing,20,bad_rep|gossip_target,1.0,-0.3600000000000001,imm,4.651415538926543,0.6301806378865628,-4.02123490103998,17327707.0,3725254.0,-13602453.0,1
2,SFI,developing,20,bad_rep|gossip_target,1.0,-0.3600000000000001,short,4.651415538926543,0.55744740586243,-4.093968133064113,17327707.0,3362627.0,-13965080.0,2
2,SFI,developing,20,bad_rep|gossip_target,1.0,-0.3600000000000001,med,4.651415538926543,0.3716316039082867,-4.279783935018256,17327707.0,2241751.3333333335,-15085955.666666666,3
