left_out_agent,SI_mean_prop,SFI_mean_prop,diff_SI_minus_SFI
0,0.346198292095462,0.3657909519913694,-0.019592659895907416
1,0.3640546301275279,0.35499091402985083,0.009063716097677088
2,0.3640546301275279,0.3624196282929675,0.0016350018345604456
3,0.3640546301275279,0.3549580961853336,0.00909653394219434
4,0.34379750163785056,0.3657909519913694,-0.02199345035351885
5,0.3640546301275279,0.37524698116090693,-0.011192351033379011
6,0.36772928407892475,0.3657909519913694,0.001938332087555339
7,0.3497876137794907,0.3657909519913694,-0.016003338211878715
8,0.3640546301275279,0.38540710087653607,-0.021352470749008146
9,0.3640546301275279,0.3649501201889661,-0.0008954900614381867
10,0.3640546301275279,0.3722745367049,-0.008219906577372094
11,0.3640546301275279,0.37258688852002486,-0.008532258392496939
12,0.3640546301275279,0.36506845637800517,-0.0010138262504772455
13,0.3640546301275279,0.3505254599621304,0.013529170165397508
14,0.3664203805701286,0.3657909519913694,0.0006294285787591947
15,0.3640546301275279,0.36889856229338974,-0.0048439321658618195
16,0.3640546301275279,0.362918863295656,0.0011357668318719427
17,0.3640546301275279,0.3664724817285471,-0.0024178516010191498
18,0.3688154485171896,0.3657909519913694,0.0030244965258202083
19,0.3817918176276622,0.3657909519913694,0.01600086563629277
20,0.36907165213439397,0.3657909519913694,0.003280700143024562
21,0.3719398152538658,0.3657909519913694,0.006148863262496418
22,0.3804561499973859,0.3657909519913694,0.014665198006016511
23,0.3640546301275279,0.3643552382619566,-0.0003006081344286704
24,0.3633431357088123,0.3657909519913694,-0.0024478162825570804
25,0.3593044701291684,0.3657909519913694,-0.006486481862201021
