term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
marginal,78,125,-0.3090573234629286,-2.1419885450063822
return,79,127,-0.3122642110158349,-2.179352643209396
contributors,376,516,-0.15767307884653015,-2.325407178549732
except,22,48,-0.6164444384737262,-2.394742158229424
balancing,8,25,-0.9745508103122891,-2.400430058215761
defect,1,17,-2.6598384182869523,-2.5971121559532158
cooperate,105,186,-0.4118186997884532,-3.3738682592888876
balance,59,124,-0.5820257108602718,-3.680307066037077
contribute,194,320,-0.34314962898891643,-3.7712676676035612
zero,9,49,-1.5316404183871217,-4.225447430222717
due,9,50,-1.5519261268920683,-4.288073934229568
highly,2,62,-3.268961250095572,-4.561218026206357
index,22,79,-1.1173123813307466,-4.635771075904963
institution,207,369,-0.4237854782947128,-4.880249434814275
vulnerability,18,78,-1.305467461157889,-4.993639608022318
low,153,308,-0.5455366419725607,-5.515772672732336
immediate,2,155,-4.193295713550514,-5.906849293923324
incentives,3,155,-3.789388028166533,-6.5114266985489
long-run,5,146,-3.219082292207002,-7.084757824598639
sfi,117,323,-0.8664032281725937,-8.029774089975952
