agent_id,mean_prop,total_enforcement_tokens,mean_enforcement,frac_rounds_enforcing
0,0.5604743484802526,86667.0,2888.9,1.0
4,0.5868830435139787,27681.0,922.7,1.0
6,0.32363343666216277,60743.0,2024.7666666666667,1.0
7,0.5209918099559369,42172.0,1405.7333333333333,1.0
14,0.3380313752589205,39697.0,1323.2333333333333,1.0
18,0.3116856278412488,1116334.0,37211.13333333333,1.0
19,0.16894556762605045,44793.0,1493.1,1.0
20,0.30886738805200104,24119.0,803.9666666666667,1.0
21,0.2773175937378111,75839.0,2527.9666666666667,1.0
22,0.18363791155909012,76308.0,2543.6,1.0
24,0.37188106873339927,94126.0,3137.5333333333333,1.0
25,0.4163063901094825,20362.0,678.7333333333333,1.0
