seed,shock_round,agent_id,institution_choice,agent_group,mean_prop_pre,mean_prop_during,mean_prop_post,delta_post_minus_pre,delta_during_minus_pre
seed1,5,0,SFI,developing,0.0,0.0,0.136203847039065,0.136203847039065,0.0
seed1,5,1,SFI,developing,0.0068072544932631,0.003588763310149,0.00254757358063015,-0.00425968091263295,-0.0032184911831141002
seed1,5,2,SI,developed,0.1344956498285006,0.5739957051718322,0.07263016065617225,-0.06186548917232834,0.4395000553433316
seed1,5,3,SI,developed,1.1848744101551372,0.0528519052501109,0.06195130119725225,-1.1229231089578848,-1.1320225049050263
seed1,5,4,SFI,developing,0.14881786527909324,0.0,0.0,-0.14881786527909324,-0.14881786527909324
seed1,5,5,SI,developed,0.60690766573863,0.0,0.14700876832759455,-0.4598988974110354,-0.60690766573863
seed1,5,6,SI,developed,1.2957378218429574,0.3220238452853053,0.13506700660691065,-1.1606708152360468,-0.9737139765576521
seed1,5,7,SFI,developing,0.0389192805226125,0.0,0.0,-0.0389192805226125,-0.0389192805226125
seed1,5,8,SFI,developing,0.3616740797797218,0.0,3.0167648558142264,2.6550907760345046,-0.3616740797797218
seed1,5,9,SFI,developing,0.6979000001344942,0.057900459845452,0.3131696597701027,-0.38473034036439147,-0.6399995402890422
seed1,5,10,SI,developed,0.00616369760120475,0.0406669836450188,0.3976853618834413,0.3915216642822365,0.03450328604381405
seed1,5,11,SFI,developing,0.06324991282973966,0.0529105795759327,0.04657542259170515,-0.01667449023803451,-0.01033933325380696
seed1,5,12,SFI,developing,0.0503426265619335,0.0206122809495914,0.038395096454387004,-0.011947530107546497,-0.029730345612342102
seed1,5,13,SI,developed,0.02987734464665925,0.0503708149684723,0.0483519393965537,0.018474594749894453,0.02049347032181305
seed1,5,14,SI,developed,0.33243059387848034,0.1269105420664605,0.25876131527652024,-0.0736692786019601,-0.20552005181201985
seed1,5,15,SFI,developing,0.22276272524919385,0.2429345869000256,0.1846018419179013,-0.038160883331292555,0.020171861650831735
seed1,5,16,SI,developed,0.1817745934525377,0.1352237594876558,0.11541060762737654,-0.06636398582516118,-0.04655083396488191
seed1,5,17,SFI,developing,0.06741146441003346,0.0557916955608413,0.048795419052445846,-0.01861604535758761,-0.011619768849192157
seed1,5,18,SFI,developing,0.0298793136179059,0.0347078014902,0.03539482970855205,0.005515516090646152,0.004828487872294101
seed1,5,19,SFI,developing,0.00371953161871905,0.0024988008560905,0.00194300249819765,-0.0017765291205214,-0.0012207307626285499
seed1,5,20,SFI,developing,0.0612134128465973,4.163037885309972,0.6568619521461635,0.5956485392995662,4.101824472463375
seed1,5,21,SI,developed,0.2432212176391729,2.273166560806559,0.28379941028323163,0.040578192644058736,2.029945343167386
seed1,5,22,SI,developed,0.21867721712324606,0.0039581140211924,0.0525650173014185,-0.16611219982182757,-0.21471910310205367
seed1,5,23,SI,developed,0.1378354736241897,0.0381733974037743,0.16767568678396336,0.029840213159773643,-0.09966207622041541
seed1,5,24,SFI,developing,0.021330502657805,0.0,0.02007900019521375,-0.0012515024625912481,-0.021330502657805
seed1,5,25,SI,developed,0.0836428882277408,0.5416064141566616,0.5734841398805199,0.48984125165277914,0.45796352592892076
seed1,10,0,SFI,developing,0.4514047049493888,0.8030790509716565,0.6507845958541312,0.1993798909047424,0.35167434602226777
seed1,10,1,SFI,developing,0.001696823202457,0.0012861736555471,0.0010172222198512998,-0.0006796009826057002,-0.0004106495469099001
seed1,10,2,SI,developed,0.41799350775211963,0.3307822319697817,0.42869354490805955,0.010700037155939923,-0.08721127578233795
seed1,10,3,SI,developed,1.0027941370250228,0.0870793039784129,0.36675528395796186,-0.636038853067061,-0.9157148330466099
seed1,10,4,SFI,developing,0.24047423018390213,0.5361650199507003,0.4509916052682773,0.21051737508437518,0.2956907897667982
seed1,10,5,SI,developed,0.0954055782196,0.2974402598591457,0.5769182214584332,0.4815126432388332,0.2020346816395457
seed1,10,6,SI,developed,0.3059462094510721,0.1901033473190394,0.42963411310783595,0.12368790365676385,-0.11584286213203268
seed1,10,7,SFI,developing,1.9202519053260727,0.4365373260617023,0.5548560401888261,-1.3653958651372466,-1.4837145792643704
seed1,10,8,SFI,developing,0.09545305369272965,0.0800412308213147,0.05511129367561895,-0.0403417600171107,-0.015411822871414946
seed1,10,9,SFI,developing,0.2267655850313835,0.022997150258846,0.41555478245193456,0.18878919742055106,-0.2037684347725375
seed1,10,10,SI,developed,0.3035190353697992,0.8663654710526678,0.1773970022310149,-0.12612203313878428,0.5628464356828686
seed1,10,11,SFI,developing,0.037896786665947105,0.0318771818166563,0.026941420501857702,-0.010955366164089403,-0.006019604849290802
seed1,10,12,SFI,developing,0.03228910596866875,0.0278207378375108,0.02397901373191265,-0.008310092236756099,-0.004468368131157949
seed1,10,13,SI,developed,0.03973413025924975,0.3139970502782166,0.3682633366524923,0.3285292063932425,0.27426292001896685
seed1,10,14,SI,developed,0.25245786590603825,0.9446370933834036,0.3839409960356117,0.13148313012957347,0.6921792274773654
seed1,10,15,SFI,developing,0.1226417117435685,2.781070918897614,0.3284445697648804,0.2058028580213119,2.658429207154046
seed1,10,16,SI,developed,0.0731723877641122,0.0497506436931755,0.18319758185225524,0.11002519408814304,-0.023421744070936695
seed1,10,17,SFI,developing,0.03935634607601485,0.032900792820532,0.0276708846117469,-0.011685461464267948,-0.006455553255482846
seed1,10,18,SFI,developing,0.29171945330445903,0.2526769377904485,0.8016409513197899,0.5099214980153308,-0.039042515514010556
seed1,10,19,SFI,developing,0.00140514265065285,0.0011122920925708,0.00090487929016825,-0.0005002633604846,-0.00029285055808205007
seed1,10,20,SFI,developing,0.7454064797907588,0.6710377854986178,0.5347562635368008,-0.21065021625395797,-0.07436869429214099
seed1,10,21,SI,developed,0.30555074867963306,0.2639956110752819,0.49817634366862706,0.192625594988994,-0.041555137604351144
seed1,10,22,SI,developed,0.04259287024771765,0.0451048768447797,0.33751689469773016,0.29492402445001253,0.0025120065970620498
seed1,10,23,SI,developed,0.45294200045687505,0.8893527805694728,0.3864785755785056,-0.06646342487836943,0.4364107801125977
seed1,10,24,SFI,developing,0.02510453207216235,0.0,0.04511491593628715,0.0200103838641248,-0.02510453207216235
seed1,10,25,SI,developed,0.6511082931431008,0.3366079414093934,0.3922929534647422,-0.2588153396783586,-0.31450035173370744
seed2,5,0,SI,developed,0.0733791402779583,0.0822365400302531,1.3014478337271242,1.228068693449166,0.008857399752294798
seed2,5,1,SFI,developing,0.0759951807764675,0.3669813885074263,0.31122161050408986,0.23522642972762237,0.2909862077309588
seed2,5,2,SFI,developing,2.114376076580682,0.2629058477571828,0.33897875436458347,-1.7753973222160984,-1.851470228823499
seed2,5,3,SFI,developing,0.02802177538539065,2.2895320485456354,0.3886191970463039,0.36059742166091324,2.2615102731602446
seed2,5,4,SI,developed,0.8124301371637872,0.7659602417485418,0.5945592210650112,-0.21787091609877596,-0.04646989541524538
seed2,5,5,SFI,developing,0.06326579631247894,1.5596589088538255,0.43422911800293584,0.37096332169045687,1.4963931125413465
seed2,5,6,SI,developed,0.1797539043879604,0.2413140466835295,0.10192716366689625,-0.07782674072106416,0.06156014229556908
seed2,5,7,SI,developed,0.2380581645037527,0.1823405683463624,0.40387269177263196,0.16581452726887927,-0.0557175961573903
seed2,5,8,SFI,developing,0.01377665091110495,0.4456313660262213,0.1974785684737633,0.18370191756265836,0.4318547151151163
seed2,5,9,SFI,developing,0.3709455694869255,0.0,0.0649821188577106,-0.3059634506292149,-0.3709455694869255
seed2,5,10,SFI,developing,1.4254030057912845,0.5455763866698792,0.3005114654336183,-1.1248915403576663,-0.8798266191214054
seed2,5,11,SFI,developing,0.1406402817633207,0.0917417798647722,0.27428096788686007,0.13364068612353938,-0.048898501898548496
seed2,5,12,SFI,developing,0.8429583718818692,0.2619087514699068,0.5645447027610293,-0.27841366912083987,-0.5810496204119624
seed2,5,13,SFI,developing,1.1583204189770804,0.2157338592324542,0.22931693809352455,-0.9290034808835559,-0.9425865597446261
seed2,5,14,SI,developed,0.5311080104703774,1.1005353737748291,0.2573224626345605,-0.2737855478358169,0.5694273633044518
seed2,5,15,SFI,developing,0.10588883511752994,0.0,0.13254489068227596,0.026656055564746012,-0.10588883511752994
seed2,5,16,SFI,developing,0.0,0.943425673502154,1.013958794789402,1.013958794789402,0.943425673502154
seed2,5,17,SFI,developing,0.2376156170248321,0.2114773212174671,0.1737281840793799,-0.06388743294545221,-0.026138295807365014
seed2,5,18,SI,developed,0.42512695137527406,0.4074927492404109,0.1824286575397625,-0.24269829383551156,-0.017634202134863164
seed2,5,19,SI,developed,0.6831620049558758,0.0,0.0,-0.6831620049558758,-0.6831620049558758
seed2,5,20,SI,developed,0.08096180656363056,0.1618431707306985,0.1281978986892477,0.047236092125617135,0.08088136416706795
seed2,5,21,SI,developed,0.4299372994490289,0.1444039428822719,0.38036876601724257,-0.049568533431786355,-0.28553335656675705
seed2,5,22,SI,developed,0.1380399603875008,0.9062014993405876,0.775477817893262,0.6374378575057612,0.7681615389530868
seed2,5,23,SFI,developing,0.2353307916192252,0.134777163865657,0.2748823071767372,0.03955151555751196,-0.10055362775356821
seed2,5,24,SI,developed,0.3838704252371772,0.4601579452266636,0.43557917827879866,0.05170875304162148,0.07628751998948641
seed2,5,25,SI,developed,1.4562978555021593,0.0,0.9032503516115564,-0.5530475038906029,-1.4562978555021593
seed2,10,0,SI,developed,0.442710990601362,0.277126479990374,0.8249592495933922,0.3822482589920302,-0.165584510610988
seed2,10,1,SFI,developing,0.6320614709297407,0.3092908314709606,0.43523249973908595,-0.1968289711906548,-0.32277063945878015
seed2,10,2,SFI,developing,0.08855748567415969,0.0430027011111423,0.0157640745120854,-0.07279341116207429,-0.04555478456301739
seed2,10,3,SFI,developing,0.5363838884935272,0.3098163155324677,0.2400433021656994,-0.29634058632782784,-0.22656757296105956
seed2,10,4,SI,developed,0.5332493791208903,0.3559446975715719,0.3296873941590834,-0.20356198496180694,-0.17730468154931844
seed2,10,5,SFI,developing,0.5898295668685514,0.0,0.0171696159272203,-0.572659950941331,-0.5898295668685514
seed2,10,6,SI,developed,0.8144104349887731,0.5010497365780319,0.259256311444945,-0.5551541235438281,-0.3133606984107412
seed2,10,7,SI,developed,0.8899678170795366,0.6736766277077405,0.4729537326379897,-0.417014084441547,-0.21629118937179614
seed2,10,8,SFI,developing,0.12511282785750855,0.0,0.0213119404701615,-0.10380088738734705,-0.12511282785750855
seed2,10,9,SFI,developing,0.11229859007059315,0.0,1.7814670553762815,1.6691684653056884,-0.11229859007059315
seed2,10,10,SFI,developing,0.32583123130040476,0.5880497372467761,0.41951856919764213,0.09368733789723738,0.26221850594637136
seed2,10,11,SFI,developing,0.3735859188576871,0.2190672374784104,0.13838593370379965,-0.23519998515388746,-0.1545186813792767
seed2,10,12,SFI,developing,0.26691059753275465,0.6734050137696893,0.22320118985416276,-0.04370940767859188,0.40649441623693466
seed2,10,13,SFI,developing,0.4462022801510618,0.2461440999294409,0.14659094811775053,-0.29961133203331125,-0.2000581802216209
seed2,10,14,SI,developed,0.22272528797407387,0.2611867919445902,0.2283585092319346,0.005633221257860727,0.03846150397051634
seed2,10,15,SFI,developing,0.1977092078058668,0.0,1.512764269792365,1.315055061986498,-0.1977092078058668
seed2,10,16,SFI,developing,0.2869553382711515,0.0,1.0526558290955028,0.7657004908243513,-0.2869553382711515
seed2,10,17,SFI,developing,0.1674244745738288,0.0585044319823503,1.3882150177344599,1.2207905431606312,-0.1089200425914785
seed2,10,18,SI,developed,0.24610486019842032,0.2526427828609658,0.249200207769924,0.003095347571503676,0.006537922662545492
seed2,10,19,SI,developed,0.11126870111364205,0.2774192485901204,0.39537764561628297,0.2841089445026409,0.16615054747647834
seed2,10,20,SI,developed,0.69961711048149,0.7293713037395159,0.5969918292971725,-0.10262528118431746,0.029754193258025863
seed2,10,21,SI,developed,0.4560130603058139,0.1585657666364165,0.14768865385069055,-0.3083244064551234,-0.2974472936693974
