agent_id,payout_round,payout,next_round,next_prop,baseline_prev3_prop,delta_vs_baseline
1,5,20250.0,6,0.3278917664878501,0.1785306753590926,0.14936109112875753
1,10,40500.0,11,0.5057410422640852,0.5195581321266037,-0.013817089862518506
2,5,20250.0,6,0.0002773125969009,1.4095840510537878,-1.409306738456887
2,10,40500.0,11,0.0315281490241708,0.28493172249352844,-0.25340357346935766
3,5,20250.0,6,0.3692603959963498,0.01868118359026043,0.35057921240608936
3,10,40500.0,11,0.4800866043313988,0.4935819250277708,-0.013495320696371993
5,5,20250.0,6,0.5309166412332313,0.042687073192013564,0.48822956804121775
5,10,40500.0,11,0.0,0.5057335761699143,-0.5057335761699143
8,5,20250.0,6,0.3949571369475266,0.689710142515834,-0.29475300556830736
8,10,40500.0,11,0.0243207349895069,0.08340855190500569,-0.05908781691549879
9,5,20250.0,6,0.0496008759231254,0.40888415304006626,-0.35928327711694086
9,10,40500.0,11,3.09238985197129,0.10165351397782736,2.9907363379934626
10,5,20250.0,6,0.5202031803490704,0.9502686705275231,-0.43006549017845264
10,10,40500.0,11,0.4851468615094084,0.2441607377063252,0.24098612380308318
11,5,20250.0,6,0.2858275676710576,0.0937601878422138,0.1920673798288438
11,10,40500.0,11,0.1610320287243841,0.3366354019393456,-0.1756033732149615
12,5,20250.0,6,0.4565629999064449,0.9089962533365656,-0.45243325343012075
12,10,40500.0,11,0.0,0.40211586689370765,-0.40211586689370765
13,5,20250.0,6,0.1485035213102006,0.8069232923206887,-0.6584197710104881
13,10,40500.0,11,0.1728892077646459,0.400844971726324,-0.2279557639616781
15,5,20250.0,6,0.2650897813645519,0.4159196730852123,-0.15082989172066041
15,10,40500.0,11,0.0,0.13180613853724452,-0.13180613853724452
16,5,20250.0,6,1.6001239596704069,0.0,1.6001239596704069
16,10,40500.0,11,0.0,0.3339014354835667,-0.3339014354835667
17,5,20250.0,6,0.3356346804428605,0.3199975180653374,0.015637162377523106
17,10,40500.0,11,2.512350459091897,0.11555687895451898,2.396793580137378
23,5,20250.0,6,0.0,0.1569851705249343,-0.1569851705249343
23,10,40500.0,11,0.0,0.3101731735961318,-0.3101731735961318
