round_number,rule,new_value,proposer,institution_choice,mean_prop_pre,mean_prop_post,delta_prop
5,SUBSIDY_TOP_N,5.0,3,SI,0.45267713835620693,0.45536933690800785,0.0026921985518009173
5,SUBSIDY_TOP_N,5.0,3,SFI,0.486609883687728,0.33566268701087243,-0.15094719667685558
5,SUBSIDY_TOP_N,5.0,3,ALL,0.47094861661164134,0.3909119100403196,-0.08003670657132173
10,SUBSIDY_FRACTION,0.5,0,SI,0.49393590177044544,0.3472778571383843,-0.1466580446320611
10,SUBSIDY_FRACTION,0.5,0,SFI,0.30994573797173547,0.5280228746918726,0.21807713672013712
10,SUBSIDY_FRACTION,0.5,0,ALL,0.39486427510960154,0.4446020973594933,0.04973782224989176
15,LDF_EQUITY_WEIGHT,1.0,23,SI,0.2705325931205014,0.4001417453487924,0.129609152228291
15,LDF_EQUITY_WEIGHT,1.0,23,SFI,0.44024840046485764,0.422970897601898,-0.01727750286295965
15,LDF_EQUITY_WEIGHT,1.0,23,ALL,0.3619180278443856,0.4124343657927723,0.050516337948386725
20,PUNISHMENT_EFFECT,2.0,17,SI,0.2645849624176542,0.33036713207311785,0.06578216965546363
20,PUNISHMENT_EFFECT,2.0,17,SFI,0.184780942090478,0.3084389861199915,0.1236580440295135
20,PUNISHMENT_EFFECT,2.0,17,ALL,0.22161356685686698,0.3185596688675882,0.09694610201072121
25,SUBSIDY_FRACTION,0.8,18,SI,0.3222724264470033,0.48411870305295296,0.16184627660594963
25,SUBSIDY_FRACTION,0.8,18,SFI,0.3497546132807029,0.3845789563722644,0.034824343091561516
25,SUBSIDY_FRACTION,0.8,18,ALL,0.3370705270497647,0.43052037791719755,0.09344985086743285
30,SUBSIDY_FRACTION,1.0,0,SI,0.3778575121185425,,
30,SUBSIDY_FRACTION,1.0,0,SFI,0.22666160244881778,,
30,SUBSIDY_FRACTION,1.0,0,ALL,0.29644432998869075,,
