run,source_file,round_number,si_members,sfi_members,si_population,sfi_population,si_total_contribution,sfi_total_contribution,si_avg_contribution,sfi_avg_contribution,cooperation_rate,gini_wealth
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,17,0;4;6;7;14;18;19;20;21;22;24;25,1;2;3;5;8;9;10;11;12;13;15;16;17;23,12,14,555793874.0,18861658.0,46316156.166666664,1347261.2857142857,0.46095092544433197,0.5872095979684622
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,18,0;4;6;7;14;18;19;20;21;22;24;25,1;2;3;5;8;9;10;11;12;13;15;16;17;23,12,14,349308739.0,6607125.0,29109061.583333332,471937.5,0.20096313767084514,0.5876577103233291
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,19,0;4;6;7;14;18;19;20;21;22;24;25,2;1;3;5;8;9;10;11;12;13;15;16;17;23,12,14,369172122.0,11244781.0,30764343.5,803198.6428571428,0.24226401824659358,0.603812318411882
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,20,0;4;6;7;14;18;19;20;21;22;24;25,2;1;3;5;8;9;10;11;12;13;15;16;17;23,12,14,205992373.0,32595976.0,17166031.083333332,2328284.0,0.34157875679849437,0.5951566991207848
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,21,0;4;6;7;14;18;19;20;21;22;24;25,1;2;3;5;8;9;10;11;12;13;15;16;17;23,12,14,430071139.0,51724803.0,35839261.583333336,3694628.785714286,0.34062208695392704,0.5942001724494639
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,22,0;4;6;7;14;18;19;20;21;22;24;25,2;1;3;5;8;9;10;11;12;13;15;16;17;23,12,14,316502417.0,28680819.0,26375201.416666668,2048629.9285714286,0.2964972760520578,0.6035991754867016
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,23,0;4;6;7;14;18;19;20;21;22;24;25,1;2;3;5;8;9;10;11;12;13;15;16;17;23,12,14,761687919.0,50545345.0,63473993.25,3610381.785714286,0.4198416796217094,0.6083569420634147
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,24,0;4;6;7;14;18;19;20;21;22;24;25,1;2;3;5;8;9;10;11;12;13;15;16;17;23,12,14,244052507.0,37358238.0,20337708.916666668,2668445.5714285714,0.2542993927380822,0.6074552703497427
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,25,0;4;6;7;14;18;19;20;21;22;24;25,1;2;3;5;8;9;10;11;12;13;15;16;17;23,12,14,326624708.0,36156641.0,27218725.666666668,2582617.214285714,0.20197152747357633,0.6062672159415881
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,26,4;0;6;7;14;18;19;20;21;22;24;25,5;2;3;1;8;9;10;11;12;13;15;16;17;23,12,14,541705474.0,64917199.0,45142122.833333336,4636942.785714285,0.35011246506245913,0.6080326803146057
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,27,0;4;6;7;14;18;19;20;21;22;25;24,1;2;3;5;8;9;10;11;12;13;15;16;17;23,12,14,1240033393.0,84015799.0,103336116.08333333,6001128.5,0.5109283160005457,0.6047486310108716
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,28,0;4;6;7;14;18;19;20;21;22;24;25,2;1;3;5;8;9;10;11;12;13;15;16;17;23,12,14,744910503.0,39133379.0,62075875.25,2795241.3571428573,0.20448922346803106,0.6111563476992716
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,29,0;4;6;7;14;18;19;20;21;22;24;25,2;1;3;5;8;9;10;11;12;13;15;16;17;23,12,14,1384948017.0,59696690.0,115412334.75,4264049.285714285,0.3883994478852205,0.6214300832398991
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,30,0;4;6;7;14;18;19;20;21;22;24;25,2;1;3;5;8;9;10;11;12;13;15;16;17;23,12,14,2123398429.0,109133379.0,176949869.08333334,7795241.357142857,0.4408299017209213,0.593214843365168
