agent_id,perceived_coop_mentions,perceived_defector_mentions
0,110,16
1,0,109
2,4,173
3,29,26
4,267,13
5,3,104
6,43,11
7,34,12
8,3,46
9,1,66
10,1,86
11,1,78
12,1,37
13,1,22
14,30,16
15,5,32
16,2,33
17,1,10
18,21,4
19,12,19
20,13,7
21,13,16
22,15,10
23,2,20
24,75,3
25,7,6
