run,source_file,round_number,agent_id,agent_group,institution_choice,stage1_payoff,stage2_payoff,payoff,cumulative_payoff,wealth
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,0,developed,SI,2842191.066666667,-660.0,2841531.066666667,10592194.066666666,10592194.066666666
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,1,developing,SFI,51933.028571428586,0.0,51933.028571428586,521374.17142857146,521374.17142857146
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,2,developing,SFI,251933.0285714286,0.0,251933.0285714286,1000364.1714285715,1000364.1714285715
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,3,developing,SFI,251933.0285714286,0.0,251933.0285714286,1222574.1714285715,1222574.1714285715
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,4,developed,SI,2843191.066666667,-793.0,2842398.066666667,15700531.066666666,15700531.066666666
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,5,developing,SFI,250933.0285714286,0.0,250933.0285714286,653754.1714285715,653754.1714285715
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,6,developed,SI,8501.066666666884,155.0,8656.066666666884,5678052.066666666,5678052.066666666
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,7,developed,SI,214050.06666666688,-28.0,214022.06666666688,4313174.066666666,4313174.066666666
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,8,developing,SFI,-262407.9714285714,0.0,-262407.9714285714,251933.17142857146,251933.17142857146
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,9,developing,SFI,51933.028571428586,0.0,51933.028571428586,412574.17142857146,412574.17142857146
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,10,developing,SFI,251933.0285714286,0.0,251933.0285714286,975574.1714285715,975574.1714285715
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,11,developing,SFI,251933.0285714286,0.0,251933.0285714286,613694.1714285715,613694.1714285715
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,12,developing,SFI,-248066.9714285714,0.0,-248066.9714285714,480274.17142857146,480274.17142857146
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,13,developing,SFI,163040.0285714286,0.0,163040.0285714286,853681.1714285713,853681.1714285713
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,14,developed,SI,-156808.93333333312,-4286.0,-160680.93333333312,4528525.066666666,4528525.066666666
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,15,developing,SFI,-248066.9714285714,0.0,-248066.9714285714,482634.17142857146,482634.17142857146
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,16,developing,SFI,251933.0285714286,0.0,251933.0285714286,618874.1714285715,618874.1714285715
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,17,developing,SFI,51933.028571428586,0.0,51933.028571428586,412574.17142857146,412574.17142857146
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,18,developed,SI,-1156808.933333333,-1145.0,-1157539.933333333,3971854.066666667,3971854.066666667
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,19,developed,SI,843191.0666666669,-3746.0,839445.0666666669,6130388.066666666,6130388.066666666
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,20,developed,SI,1643191.066666667,-52.0,1643139.066666667,5732544.066666666,5732544.066666666
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,21,developed,SI,843191.0666666669,292.0,843483.0666666669,6112881.066666666,6112881.066666666
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,22,developed,SI,2608685.066666667,-897.0,2607788.066666667,7297913.066666666,7297913.066666666
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,23,developing,SFI,251753.0285714286,0.0,251753.0285714286,612394.1714285715,612394.1714285715
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,24,developed,SI,418595.0666666669,969.0,419564.0666666669,4546004.066666666,4546004.066666666
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,2,25,developed,SI,1843191.066666667,-6393.0,1836798.066666667,10608737.066666666,10608737.066666666
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,3,0,developed,SI,3040611.0666666673,-4954.0,3035657.0666666673,13627851.133333333,13627851.133333333
