seed,institution_choice,n_rounds,mean_of_round_means,median_of_round_means,std_of_round_means,min_round_mean,max_round_mean
seed1,ALL,30,0.2933289746594674,0.3098724430596844,0.07502152945905466,0.11531491861505126,0.44513200086623367
seed2,ALL,30,0.3649895726695963,0.3719329018702724,0.08574695563585437,0.20096312048876344,0.510928295583276
seed1,SI,30,0.2905099237300424,0.3290908418559766,0.11176702980081396,0.061123324653891496,0.47601818308310634
seed2,SI,30,0.364054630127528,0.36472607235834786,0.11648571845238027,0.12729837135360797,0.5458565564828919
seed1,SFI,30,0.295745304027546,0.2866500413690414,0.1327999456571527,0.021760913151822235,0.6024716203008716
seed2,SFI,30,0.3657909519913693,0.3704442705616484,0.11389496053226379,0.1777788966637799,0.5442637288047704
