seed,shock_round,n_agents,mean_delta_post_minus_pre,median_delta_post_minus_pre,wilcoxon_stat,wilcoxon_p
seed1,5,26,0.022540641239614485,-0.014311010172790503,139.0,0.3666093051433563
seed1,10,26,0.010459640808955627,0.015355210510032361,136.0,0.3276410400867462
seed2,5,26,-0.08003670657132177,-0.011456238933520171,153.0,0.5822249948978424
seed2,10,26,0.0497378222498918,-0.14708917030240382,139.0,0.3666093051433563
