round_number,mean_prop,median_prop,std_prop,iqr_prop,zero_share
1,0.34915246636590846,0.02401224507334105,0.6769702978723209,0.26619917466265164,0.11538461538461539
2,0.3799479634115542,0.2677873817634092,0.48271314673836313,0.5246747799727577,0.23076923076923078
3,0.44771687497968937,0.14002301854647875,0.9075915218009523,0.4238511767630835,0.38461538461538464
4,0.4941803582435932,0.2366200468820513,0.7282686404215502,0.43624504431833744,0.23076923076923078
5,0.45314756051987426,0.25161139907671815,0.5386750663463536,0.38703791768926454,0.15384615384615385
6,0.3826731914622339,0.3317632234653553,0.36778781409910627,0.30012507362280805,0.11538461538461539
7,0.3991506286184052,0.32383597482474447,0.5176074015346436,0.4598203120303714,0.19230769230769232
8,0.43573161878993116,0.4054450396736289,0.3365095016635838,0.44116412635635305,0.15384615384615385
9,0.353996931429272,0.3170315271524638,0.25416166427774983,0.3576714678191237,0.07692307692307693
10,0.29251518601651133,0.2772728642902472,0.22741870219746046,0.3405772551170224,0.19230769230769232
11,0.4712894016971984,0.22243452738902,0.7688092566990441,0.4514208623310097,0.19230769230769232
12,0.41791479302178836,0.27496201170350554,0.6699432901815323,0.3566323642938113,0.19230769230769232
13,0.3924996832801822,0.2935210059548211,0.5486789927253233,0.3716692070579132,0.19230769230769232
14,0.33133637240858893,0.2826791672675487,0.3480597986382603,0.33193580394122696,0.07692307692307693
15,0.33076834186112725,0.22078174698123326,0.5262241321354285,0.3296785334158814,0.15384615384615385
16,0.36391784032899077,0.23073125765202296,0.5929555692224315,0.3504498461388223,0.19230769230769232
17,0.460950891256554,0.1548530273892412,0.7376273184360899,0.29811130459502116,0.15384615384615385
18,0.20096312048876339,0.05172533980992975,0.2728144997064575,0.33202186646158527,0.3076923076923077
19,0.2422640132249706,0.1300120627419099,0.39824804728647983,0.2767933450178122,0.2692307692307692
20,0.3415787169884595,0.08864084381439341,0.9013459320889361,0.23465418324231346,0.19230769230769232
21,0.3406220725725622,0.1935246019047137,0.4460919026701702,0.3624351203790416,0.038461538461538464
22,0.2964972651626142,0.05893699289187655,0.48507765863855123,0.3521625038852965,0.23076923076923078
23,0.41984167071527306,0.13914162332990154,0.7680761434497659,0.3291145012594037,0.11538461538461539
24,0.2542993833842563,0.0462562664864012,0.5359848283074955,0.27175613409412114,0.23076923076923078
25,0.20197151750795225,0.0824921694255696,0.2679954747720807,0.24637550439210512,0.15384615384615385
26,0.3501124602511192,0.15167415659066041,0.7343907113674489,0.34674571461550263,0.07692307692307693
27,0.510928295583276,0.1105476712163414,0.9176249726750297,0.2957744178891592,0.15384615384615385
28,0.20448922265111552,0.1501452899109905,0.21442834371528757,0.25119698406569063,0.15384615384615385
29,0.3883994373262659,0.14521823441651188,0.7094406626478591,0.4901783554306735,0.19230769230769232
30,0.4408299005398601,0.20835559017818905,0.7400551538414352,0.15546143860645725,0.038461538461538464
