round_number,target_id,prop,prop_rank,n_agents
2,14,0.6624673499286214,5.0,26
2,19,0.3262436208361404,13.0,26
2,25,0.0942619270998867,16.0,26
2,14,0.6624673499286214,5.0,26
2,19,0.3262436208361404,13.0,26
3,2,4.228752153161364,1.0,26
3,3,0.0,17.0,26
3,4,1.3727146664922607,3.0,26
3,10,0.0,17.0,26
3,16,0.0,17.0,26
4,3,0.0560435507707813,18.0,26
4,7,0.4761163290075054,7.0,26
4,8,0.0275533018222099,20.0,26
4,10,2.850806011582569,1.0,26
4,15,0.2117776702350599,15.0,26
5,1,0.3669813885074263,11.0,26
5,2,0.2629058477571828,12.0,26
5,5,1.5596589088538255,2.0,26
5,6,0.2413140466835295,14.0,26
5,10,0.5455763866698792,7.0,26
6,9,0.0496008759231254,22.0,26
6,15,0.2650897813645519,17.0,26
6,19,0.0,24.0,26
6,25,0.9632868023851288,3.0,26
6,9,0.0496008759231254,22.0,26
7,19,0.0,22.0,26
7,23,0.5497646143534743,7.0,26
7,0,2.6028956674542485,1.0,26
7,19,0.0,22.0,26
7,23,0.5497646143534743,7.0,26
8,6,1.2902479367960638,1.0,26
8,8,0.2115982917578371,18.0,26
8,15,0.3954184156117336,14.0,26
8,18,0.2914330700006274,17.0,26
8,19,0.0,23.0,26
9,12,0.5338211950655093,8.0,26
9,16,0.573910676542303,7.0,26
9,19,0.2225374022272841,19.0,26
9,23,0.3807549064349211,9.0,26
9,12,0.5338211950655093,8.0,26
10,15,0.0,22.0,26
10,21,0.1585657666364165,19.0,26
10,15,0.0,22.0,26
10,21,0.1585657666364165,19.0,26
10,15,0.0,22.0,26
11,5,0.0,22.0,26
11,8,0.0243207349895069,21.0,26
11,9,3.09238985197129,1.0,26
11,15,0.0,22.0,26
11,16,0.0,22.0,26
12,5,0.0343392318544406,20.0,26
12,12,0.4464023797083255,6.0,26
12,15,3.02552853958473,1.0,26
12,16,2.1053116581910056,2.0,26
12,23,0.0,22.0,26
13,2,0.0,22.0,26
13,22,0.0,22.0,26
13,23,2.5720304835852947,1.0,26
13,0,0.1714553829137577,19.0,26
13,2,0.0,22.0,26
14,1,0.4239015611434581,7.0,26
14,2,0.0141555739576244,23.0,26
14,5,0.0,25.0,26
14,12,1.102679584119126,2.0,26
14,14,0.0692744564739999,20.0,26
15,11,0.0,23.0,26
15,24,0.2414117818166949,10.0,26
15,11,0.0,23.0,26
15,24,0.2414117818166949,10.0,26
15,5,0.0168160037565717,21.0,26
16,2,0.0109493915125729,20.0,26
16,10,0.4002180959927104,5.0,26
16,11,0.0,22.0,26
16,16,0.2195840097188034,14.0,26
16,2,0.0109493915125729,20.0,26
17,5,0.0760306274132962,18.0,26
17,9,0.0,23.0,26
17,11,0.0866063733550969,17.0,26
17,14,0.2255271806551916,11.0,26
17,22,0.0,23.0,26
18,2,0.0,19.0,26
18,9,0.0,19.0,26
18,13,0.4696347943710846,5.0,26
18,22,0.1941943595241572,10.0,26
18,2,0.0,19.0,26
19,2,0.0,20.0,26
19,5,0.0,20.0,26
19,9,0.0,20.0,26
19,11,0.0,20.0,26
19,12,0.2033605631277275,9.0,26
20,1,0.8578839214133089,2.0,26
20,2,4.651415538926543,1.0,26
20,5,0.0,22.0,26
20,9,0.0,22.0,26
20,11,0.0613046866925023,18.0,26
21,5,0.2521499231802925,11.0,26
21,6,0.0,26.0,26
21,9,1.0054478554604471,2.0,26
21,16,0.2034436064564834,13.0,26
21,25,0.0746960979544231,19.0,26
22,6,0.0449109750311184,17.0,26
22,6,0.0449109750311184,17.0,26
22,6,0.0449109750311184,17.0,26
22,6,0.0449109750311184,17.0,26
22,6,0.0449109750311184,17.0,26
23,5,2.251265708214518,2.0,26
23,11,0.0,24.0,26
23,12,0.1798978931426149,11.0,26
23,13,0.3672497170041883,7.0,26
23,19,0.0369970140387425,19.0,26
24,2,0.0,21.0,26
24,11,0.0,21.0,26
24,17,0.1916288558600231,9.0,26
24,2,0.0,21.0,26
24,11,0.0,21.0,26
25,2,0.0,23.0,26
25,4,0.1138964489304026,13.0,26
25,5,0.3010780439150455,7.0,26
25,11,0.5081432024317629,3.0,26
25,16,0.1519407634652049,11.0,26
26,2,0.5622199140863716,3.0,26
26,10,0.0105487308266458,23.0,26
26,12,0.5129011228409398,5.0,26
26,13,0.2228608593757973,11.0,26
26,2,0.5622199140863716,3.0,26
27,11,2.8222399330440218,2.0,26
27,20,0.0288466335027981,20.0,26
27,11,2.8222399330440218,2.0,26
27,20,0.0288466335027981,20.0,26
27,11,2.8222399330440218,2.0,26
28,1,0.7299714952179448,1.0,26
28,2,0.0,23.0,26
28,5,0.1551657065452381,13.0,26
28,12,0.0,23.0,26
28,2,0.0,23.0,26
29,2,0.348634860239536,9.0,26
29,12,0.0,22.0,26
29,15,0.0,22.0,26
29,21,0.0259868835676322,19.0,26
29,2,0.348634860239536,9.0,26
30,9,0.1297336646758703,17.0,26
30,15,0.26272481303138,9.0,26
30,24,0.1834260162103081,14.0,26
30,25,0.0115617200942472,22.0,26
30,9,0.1297336646758703,17.0,26
