seed,metric,unit,n_SI,n_SFI,mean_SI,mean_SFI,median_SI,median_SFI,n_agents_SI,n_agents_SFI,mean_of_agent_means_SI,mean_of_agent_means_SFI,mannwhitney_U_agent_round,mannwhitney_p_agent_round,mannwhitney_U_agent_means,mannwhitney_p_agent_means,note
seed1,prop_of_wealth,agent-round,360,420,0.2905099237300424,0.295745304027546,0.1943425867977709,0.03419605202066455,12,14,0.2905099237300424,0.295745304027546,99871.0,9.70472570158512e-15,79.0,0.8169613217153913,"institution_choice is collinear with agent_group (developed=SI, developing=SFI) in these runs."
seed2,prop_of_wealth,agent-round,360,420,0.3640546301275279,0.3657909519913694,0.2054622130594733,0.1793014101865417,12,14,0.36405463012752787,0.36579095199136935,82476.0,0.027996180767754703,78.0,0.7772615629718961,"institution_choice is collinear with agent_group (developed=SI, developing=SFI) in these runs."
