round_number,event_family,n_affected,n_control,affected_mean_delta,control_mean_delta,diff_in_diff
2,bad_rep,3,23,0.5802308130417005,0.0009260548541919646,0.5793047581875086
2,gossip_target,3,23,0.5802308130417005,0.0009260548541919646,0.5793047581875086
2,rep_drop,3,23,0.5802308130417005,0.0009260548541919646,0.5793047581875086
3,bad_rep,6,20,-0.4118240434743055,0.1839497412853666,-0.5957737847596721
3,gossip_target,5,21,-0.4884943298929921,0.1738343911584028,-0.6623287210513948
3,rep_drop,7,19,-0.08623124516148549,0.09535101478904724,-0.18158225995053273
4,bad_rep,10,16,-0.20914718999836562,0.06403869744793518,-0.2731858874463008
4,gossip_target,5,21,-0.031843298766005446,-0.043220773666031706,0.01137747490002626
4,rep_drop,11,15,-0.18909457120207315,0.06754583616040749,-0.2566404073624806
5,bad_rep,11,15,-0.07571346702473095,-0.06663236388177386,-0.009081103142957084
5,gossip_target,5,21,-0.2786586700941996,-0.020906678334649997,-0.2577519917595496
5,rep_drop,8,18,-0.22245636672340446,-0.0029268145395229075,-0.21952955218388157
6,bad_rep,4,22,-0.08860004926063152,0.035582434686499013,-0.12418248394713052
6,gossip_target,4,22,-0.08860004926063152,0.035582434686499013,-0.12418248394713052
6,rep_drop,6,20,0.03901366990180941,0.009716567332479789,0.029297102569329624
7,bad_rep,3,23,-0.8570436428275192,0.15314072491053185,-1.010184367738051
7,gossip_target,3,23,-0.8570436428275192,0.15314072491053185,-1.010184367738051
7,rep_drop,4,22,-0.6734625465699922,0.16567981503362017,-0.8391423616036123
8,bad_rep,6,20,-0.29327553898605235,-0.018272431873041086,-0.2750031071130113
8,gossip_target,5,21,-0.27763667288082045,-0.03509135747490635,-0.2425453154059141
8,rep_drop,7,19,-0.3711707190678276,0.024899640110402996,-0.39607035917823064
9,bad_rep,7,19,-0.08930356705320495,-0.051231600597860256,-0.0380719664553447
9,gossip_target,4,22,-0.07834636402088649,-0.05841545112037425,-0.019930912900512236
9,rep_drop,6,20,-0.11333446928921183,-0.04592592824982543,-0.0674085410393864
10,bad_rep,4,22,-0.024746434795959223,0.21577797031280455,-0.24052440510876377
10,gossip_target,2,24,-0.0616532370866719,0.19880983674463373,-0.2604630738313056
10,rep_drop,7,19,0.4198391418603341,0.08996082182502771,0.32987832003530637
11,bad_rep,5,21,0.5074632494802938,-0.18690743204581575,0.6943706815261095
11,gossip_target,5,21,0.5074632494802938,-0.18690743204581575,0.6943706815261095
11,rep_drop,8,18,-0.06537687181709571,-0.04804026950132761,-0.017336602315768106
12,bad_rep,5,21,-0.0717739618250957,-0.014377287816965845,-0.05739667400812985
12,gossip_target,5,21,-0.0717739618250957,-0.014377287816965845,-0.05739667400812985
12,rep_drop,3,23,1.2360623686242942,-0.18995565039802798,1.4260180190223222
13,bad_rep,6,20,-0.2661271558913259,0.00032584263432655636,-0.26645299852565246
13,gossip_target,4,22,-0.44350976058640373,0.008354225440190481,-0.4518639860265942
13,rep_drop,6,20,0.12250198983467425,-0.11626290108347351,0.23876489091814776
14,bad_rep,7,19,-0.12370089757135459,0.04479670993502521,-0.1684976075063798
14,gossip_target,5,21,-0.11344747839780037,0.026308028464523753,-0.13975550686232413
14,rep_drop,6,20,-0.05615209249711669,0.016107188037434862,-0.07225928053455155
15,bad_rep,2,24,-0.024915267472071956,0.037988228962858105,-0.06290349643493007
15,gossip_target,3,23,-0.02221551290023854,0.040371021689789836,-0.06258653459002837
15,rep_drop,5,21,0.4657790962205592,-0.06985754861611172,0.535636644836671
16,bad_rep,5,21,0.4630133956640291,0.009894873609357025,0.45311852205467207
16,gossip_target,4,22,0.08628864596796275,0.09898657910203604,-0.012697933134073289
16,rep_drop,5,21,0.2630066816378833,0.05751551980605842,0.2054911618318249
17,bad_rep,5,21,0.007019166363043544,-0.32356085103703675,0.3305800174000803
17,gossip_target,5,21,0.007019166363043544,-0.32356085103703675,0.3305800174000803
17,rep_drop,5,21,-0.12872911450418162,-0.2912398317829355,0.16251071727875388
18,bad_rep,4,22,-0.09187292317984129,0.06551431381185241,-0.1573872369916937
18,gossip_target,4,22,-0.09187292317984129,0.06551431381185241,-0.1573872369916937
18,rep_drop,5,21,0.01674241872504246,0.0471481484531512,-0.03040572972810874
19,bad_rep,8,18,0.5863982847268927,-0.11716688777580177,0.7035651725026945
19,gossip_target,5,21,0.9278112551236098,-0.09794637989368281,1.0257576350172926
19,rep_drop,6,20,0.006628456481433173,0.12712057794810555,-0.12049212146667237
20,bad_rep,7,19,-0.3966268154913309,0.14481657650663093,-0.5414433919979618
20,gossip_target,5,21,-0.5497870847523533,0.12971726994992563,-0.6795043547022789
20,rep_drop,3,23,-0.2565169047014365,0.03237730257786876,-0.28889420727930526
21,bad_rep,5,21,-0.1390141533905192,-0.021532105986002473,-0.11748204740451673
21,gossip_target,5,21,-0.1390141533905192,-0.021532105986002473,-0.11748204740451673
21,rep_drop,5,21,-0.1263616854153874,-0.02454459836103387,-0.10181708705435352
22,bad_rep,1,25,0.0222448413479508,0.12738838812084713,-0.10514354677289633
22,gossip_target,1,25,0.0222448413479508,0.12738838812084713,-0.10514354677289633
22,rep_drop,1,25,0.0369970140387425,0.12679830121321542,-0.08980128717447292
23,bad_rep,6,20,-0.7644713495688742,0.014136431340340505,-0.7786077809092147
23,gossip_target,5,21,-0.5013729861559802,-0.08558259713459684,-0.41579038902138343
23,rep_drop,10,16,-0.3511925511663877,-0.04951087243390981,-0.30168167873247786
24,bad_rep,5,21,0.10215608508472332,-0.08910975896226292,0.19126584404698624
24,gossip_target,3,23,0.16507309126740277,-0.08068451246026581,0.24575760372766858
24,rep_drop,9,17,-0.040807245498661326,-0.05842701784093841,0.01761977234227708
25,bad_rep,6,20,0.6930153912666781,-0.015321391813886403,0.7083367830805645
25,gossip_target,5,21,0.8417046742859415,-0.016993279052731788,0.8586979533386733
25,rep_drop,7,19,0.557401954837753,-0.0026394301337857875,0.5600413849715388
26,bad_rep,4,22,0.09033922174153497,0.17362976507590616,-0.08329054333437119
26,gossip_target,4,22,0.09033922174153497,0.17362976507590616,-0.08329054333437119
26,rep_drop,5,21,0.10380965885508142,0.17438873449336517,-0.07057907563828375
27,bad_rep,3,23,-0.8666343312941706,-0.23337012618928957,-0.633264205104881
27,gossip_target,2,24,-1.2461806263342443,-0.2281272768153201,-1.0180533495189241
27,rep_drop,3,23,-0.8666343312941706,-0.23337012618928957,-0.633264205104881
