seed,round_number,institution_choice,n,mean_prop,median_prop,std_prop,mean_contribution,mean_wealth
seed1,1,ALL,26,0.23141811465856874,0.0,0.6308968101343805,367553.8461538461,2525136.6923076925
seed1,2,ALL,26,0.44513200086623367,0.01678736081881175,1.6216409334652153,972254.5384615385,3107737.261538461
seed1,3,ALL,26,0.2653599682464516,0.07471584310184815,0.4242066242094622,838316.8076923077,3572089.0384615385
seed1,4,ALL,26,0.21384515050428451,0.05229810496307545,0.3968542644450911,700598.8076923077,3954852.707692308
seed1,5,ALL,26,0.3381896498485114,0.04551889930674555,0.9025248999043634,858728.6538461539,4389642.130769231
seed1,6,ALL,26,0.2766382426918588,0.033696696434874704,0.9140316540610961,516689.53846153844,4697687.853846153
seed1,7,ALL,26,0.24764815853810618,0.11325924062371465,0.3259256195901435,1044717.9230769231,5260675.06923077
seed1,8,ALL,26,0.3182007077869962,0.10911811935967469,0.6947411587848041,1129581.576923077,5935896.323076922
seed1,9,ALL,26,0.31065180182319657,0.2536557347402193,0.390435409539014,1841464.7692307692,7036560.723076924
seed1,10,ALL,26,0.39591612345794186,0.2583362744328652,0.5750609439083899,2571654.3076923075,8379374.153846154
seed1,11,ALL,26,0.3115279367936191,0.3606944451459727,0.23440758306006013,3022972.846153846,10031235.015384616
seed1,12,ALL,26,0.33824385443448496,0.3345884149189919,0.2812911788308254,4933566.884615385,12708268.761538463
seed1,13,ALL,26,0.3074973251401433,0.3096110680953825,0.2119317183060675,5540774.038461538,16025966.415384617
seed1,14,ALL,26,0.30986443408521286,0.30718973598493854,0.2622794019866241,5851963.653846154,19329477.069230773
seed1,15,ALL,26,0.309880452034156,0.25550956124848506,0.28568823196330656,6670803.038461538,23327634.58461539
seed1,16,ALL,26,0.3121266845218311,0.22065480198152748,0.392669388164039,8247369.038461538,28271621.469230775
seed1,17,ALL,26,0.3967996550185775,0.19011224359014295,1.0888114467811154,7173079.653846154,32572901.87692309
seed1,18,ALL,26,0.2534878028230731,0.1824995734762292,0.37673101515675905,9035858.5,37993989.82307693
seed1,19,ALL,26,0.18130496500715873,0.1897356226359383,0.1613625413332976,8176914.307692308,42898428.25384616
seed1,20,ALL,26,0.2833034934933899,0.16122968622060496,0.5399607262491042,7814371.730769231,47585228.13846156
seed1,21,ALL,26,0.18578090117759918,0.1407805398180198,0.21189085564483612,7935336.5,52344009.80769233
seed1,22,ALL,26,0.2857983634982903,0.10149153466189764,0.547264774477022,12180062.961538462,59650700.584615394
seed1,23,ALL,26,0.3263433954465856,0.050168763835859845,0.6479116614614019,10737964.26923077,66091748.06923079
seed1,24,ALL,26,0.16472752442569005,0.0280773817516861,0.37770950078017235,7456419.307692308,70302721.80769232
seed1,25,ALL,26,0.3132430112504838,0.04070659927629395,1.1258648187899705,6190831.269230769,74014944.95384616
seed1,26,ALL,26,0.42041412051286015,0.052905100718205395,1.0376355457098,11799007.26923077,81090244.16153847
seed1,27,ALL,26,0.3701142168438558,0.04382545071358585,0.8275925002551701,14218633.807692308,89411295.60000004
seed1,28,ALL,26,0.31314116929600105,0.0469022191056594,0.8025927032723021,9020074.192307692,94819010.50000003
seed1,29,ALL,26,0.11531491861505126,0.03543637849230955,0.23810365141627376,5231297.153846154,97953471.79230769
seed1,30,ALL,26,0.2579550969438088,0.0448224115536311,0.7546100123517391,5018044.192307692,100964260.30769232
seed1,1,SFI,14,0.021760913151822235,0.0,0.04484932894313745,992.8571428571429,421757.14285714284
seed1,2,SFI,14,0.6024716203008716,0.0022792674240058,2.218826911832483,28699.5,438976.8428571429
seed1,3,SFI,14,0.1487183543183415,0.0613371472642287,0.2423232320907334,41595.78571428572,463934.3142857143
seed1,4,SFI,14,0.10471421282467457,0.01982805615711155,0.2082107063642279,16048.857142857143,473563.62857142865
seed1,5,SFI,14,0.3309987752713039,0.012100522129870199,1.1047788614649032,81807.5,520398.1285714287
seed1,6,SFI,14,0.40476070042153484,0.033696696434874704,1.2435986942387371,57364.142857142855,554816.6142857143
seed1,7,SFI,14,0.23828679968826375,0.043971470245292896,0.3982970078103109,42817.5,580507.1142857143
seed1,8,SFI,14,0.3816504321076405,0.04581788294544205,0.939838621185261,77383.85714285714,626937.4285714285
seed1,9,SFI,14,0.22290183370066888,0.07424860217872645,0.26955025929331067,70922.57142857143,669490.9714285714
seed1,10,SFI,14,0.4056144713195512,0.05647101182092335,0.7378739785401182,90960.85714285714,719567.4857142858
seed1,11,SFI,14,0.2810198771539361,0.2426587349583054,0.2689890390190984,95978.42857142857,777154.542857143
seed1,12,SFI,14,0.2786613283249329,0.09990685707348415,0.35487450172011903,90909.92857142857,831700.5
seed1,13,SFI,14,0.2605446615916116,0.1753095559489737,0.26641311643564963,88710.28571428571,884926.6714285715
seed1,14,SFI,14,0.3037335725170035,0.20952784613328443,0.35213869459003483,95205.28571428571,942049.8428571431
seed1,15,SFI,14,0.3170409235277774,0.1617208291833031,0.3833657614428576,92294.28571428571,997426.4142857144
seed1,16,SFI,14,0.25510026747741055,0.15245795518777303,0.30684782478305317,78430.0,1044484.4142857144
seed1,17,SFI,14,0.5290522341826837,0.12562393789073584,1.4918418082574472,206711.92857142858,1168511.5714285716
