corpus,n_blocks,fairness,fairness_rate,reciprocity,reciprocity_rate,inequity,inequity_rate,self_interest,self_interest_rate,group_welfare,group_welfare_rate,reputation,reputation_rate,punishment,punishment_rate,reward,reward_rate,conformity,conformity_rate,trust,trust_rate,strategic_adaptation,strategic_adaptation_rate,institutional_choice,institutional_choice_rate,future_interaction,future_interaction_rate,shocks,shocks_rate,redistribution,redistribution_rate,uncertainty,uncertainty_rate
SI_shared_kinds,1440,0,0.0,0,0.0,0,0.0,122,0.08472222222222223,9,0.00625,2,0.001388888888888889,5,0.003472222222222222,52,0.03611111111111111,76,0.05277777777777778,1,0.0006944444444444445,479,0.3326388888888889,1050,0.7291666666666666,22,0.015277777777777777,1,0.0006944444444444445,361,0.25069444444444444,2,0.001388888888888889
SFI_shared_kinds,1680,0,0.0,0,0.0,0,0.0,30,0.017857142857142856,2,0.0011904761904761906,1,0.0005952380952380953,4,0.002380952380952381,38,0.02261904761904762,37,0.022023809523809525,1,0.0005952380952380953,250,0.1488095238095238,1282,0.763095238095238,10,0.005952380952380952,1,0.0005952380952380953,422,0.2511904761904762,1,0.0005952380952380953
SI_contribution,360,0,0.0,0,0.0,0,0.0,109,0.30277777777777776,9,0.025,2,0.005555555555555556,5,0.013888888888888888,4,0.011111111111111112,59,0.1638888888888889,0,0.0,93,0.25833333333333336,122,0.3388888888888889,22,0.06111111111111111,1,0.002777777777777778,1,0.002777777777777778,2,0.005555555555555556
SFI_contribution,420,0,0.0,0,0.0,0,0.0,30,0.07142857142857142,0,0.0,1,0.002380952380952381,4,0.009523809523809525,2,0.004761904761904762,26,0.06190476190476191,0,0.0,41,0.09761904761904762,117,0.2785714285714286,10,0.023809523809523808,1,0.002380952380952381,2,0.004761904761904762,1,0.002380952380952381
SI_post_shock,48,0,0.0,0,0.0,0,0.0,12,0.25,2,0.041666666666666664,0,0.0,1,0.020833333333333332,1,0.020833333333333332,9,0.1875,0,0.0,19,0.3958333333333333,18,0.375,3,0.0625,0,0.0,0,0.0,0,0.0
SFI_post_shock,56,0,0.0,0,0.0,0,0.0,9,0.16071428571428573,0,0.0,0,0.0,1,0.017857142857142856,1,0.017857142857142856,7,0.125,0,0.0,3,0.05357142857142857,13,0.23214285714285715,0,0.0,0,0.0,0,0.0,0,0.0
