agent_id,agent_group,institution_choice,sum_ldf_payout,sum_ldf_contrib,net_ldf
0,developed,SI,0.0,1190341046.0,-1190341046.0
1,developing,SFI,60750.0,70228931.0,-70168181.0
2,developing,SFI,60750.0,52356260.0,-52295510.0
3,developing,SFI,60750.0,73037380.0,-72976630.0
4,developed,SI,0.0,1377175052.0,-1377175052.0
5,developing,SFI,60750.0,47074584.0,-47013834.0
6,developed,SI,0.0,1043269524.0,-1043269524.0
7,developed,SI,0.0,1139540188.0,-1139540188.0
8,developing,SFI,60750.0,4644141.0,-4583391.0
9,developing,SFI,60750.0,56138126.0,-56077376.0
10,developing,SFI,60750.0,20775820.0,-20715070.0
11,developing,SFI,60750.0,75516715.0,-75455965.0
12,developing,SFI,60750.0,45615869.0,-45555119.0
13,developing,SFI,60750.0,71629581.0,-71568831.0
14,developed,SI,0.0,1212856964.0,-1212856964.0
15,developing,SFI,60750.0,50421581.0,-50360831.0
16,developing,SFI,60750.0,70578059.0,-70517309.0
17,developing,SFI,60750.0,72553956.0,-72493206.0
18,developed,SI,0.0,1214910637.0,-1214910637.0
19,developed,SI,0.0,604104144.0,-604104144.0
20,developed,SI,0.0,825424605.0,-825424605.0
21,developed,SI,0.0,1351037624.0,-1351037624.0
22,developed,SI,0.0,557731686.0,-557731686.0
23,developing,SFI,60750.0,60399469.0,-60338719.0
24,developed,SI,0.0,949128640.0,-949128640.0
25,developed,SI,0.0,771475998.0,-771475998.0
