round_number,gini_wealth,cooperation_rate,mean_wealth_developed,mean_wealth_developing,wealth_gap_dev_minus_dvg,gini_contribution_abs,gini_prop_of_wealth,shock_round,democracy_round
1,0.5331772523806135,0.3491525183084075,6036182.833333333,556401.857142857,5479780.976190476,0.8485919334054077,0.7752187852549144,0,0
2,0.5525752607008183,0.3799480687706812,7101066.4833333315,650876.742857143,6450189.740476188,0.6592548570650347,0.6169116842295024,0,0
3,0.5320596792661849,0.4477172496570828,8989162.799999999,739587.6,8249575.199999999,0.788302297991121,0.7501951703097247,0,0
4,0.5397151905574737,0.4941807676950537,11295573.950000001,899033.9142857142,10396540.035714287,0.6751336527876888,0.6683271673840179,0,0
5,0.523246147151875,0.4531478548383711,13747157.333333334,1189880.2714285713,12557277.061904762,0.6370983504203287,0.5619828482414158,1,1
6,0.5423342661562518,0.3826732856112737,16614110.849999996,1438290.2142857146,15175820.635714281,0.6233253181298597,0.4635473423722971,0,0
7,0.5442672608141426,0.3991506747297803,21225895.566666666,1690516.2857142861,19535379.28095238,0.7288357453613208,0.5496220573461479,0,0
8,0.535015016489991,0.4357317016436413,28931685.98333333,2054345.1857142858,26877340.797619045,0.639700401920211,0.4229697997423023,0,0
9,0.5427099873590897,0.3539969676507891,38001421.88333335,2368291.714285715,35633130.16904763,0.6120904119253265,0.39649778292652416,0,0
10,0.5480738410147654,0.2925152164483908,48295891.95000001,2594868.214285714,45701023.735714294,0.5776683126031867,0.4290276356110052,1,1
11,0.5590269137447597,0.4712895037576057,59366675.78333334,3105128.871428571,56261546.91190477,0.6274281964764077,0.6644774277594332,0,0
12,0.5395062601373775,0.4179148789509312,71245076.93333334,3766817.5285714297,67478259.40476191,0.6281122398898649,0.6112717557211493,0,0
13,0.5481545431226538,0.3924997159166928,82884208.98333333,4548776.785714285,78335432.19761905,0.6027229735183715,0.573924046110206,0,0
14,0.5418786651162693,0.3313364130507143,97675542.08333336,5257921.371428572,92417620.7119048,0.5964297856731307,0.4952168964849304,0,0
15,0.5350080836318243,0.3307684293912883,116914264.95,5816113.885714288,111098151.06428571,0.5989399926155492,0.5852683987991647,0,1
16,0.5609169250825068,0.363917867358457,136388920.28333336,6427210.285714285,129961709.99761908,0.679070306493436,0.639400678869146,0,0
17,0.5872095979684622,0.4609509254443319,164175591.65,7235567.0571428565,156940024.59285715,0.7296295046435681,0.6959013747470617,0,0
18,0.5876577103233291,0.2009631376708451,181638270.35,7518729.5571428565,174119540.79285714,0.6830759958223418,0.6580365453532113,0,0
19,0.603812318411882,0.2422640182465935,200095890.86666667,8000648.742857145,192095242.12380952,0.7172441512956884,0.6792468340706765,0,0
20,0.5951566991207848,0.3415787567984943,210391828.01666668,9397619.142857144,200994208.87380955,0.6192057625451068,0.7520931893883265,0,1
21,0.5942001724494639,0.340622086953927,231884626.9666667,11614396.414285718,220270230.55238098,0.669966289778978,0.5793633200485611,0,0
22,0.6035991754867016,0.2964972760520578,247696191.4,12843574.371428574,234852617.02857143,0.6910617210676075,0.6876340839660688,0,0
23,0.6083569420634147,0.4198416796217094,285778650.6833334,15009803.442857146,270768847.24047625,0.7611154134392377,0.722384550278661,0,0
24,0.6074552703497427,0.2542993927380822,297980485.2,16610870.785714295,281369614.4142857,0.6494148034533866,0.7382351728493581,0,0
25,0.6062672159415881,0.2019715274735763,314311657.6000001,18160441.11428572,296151216.4857144,0.5866551776088389,0.6196311331170492,0,1
26,0.6080326803146057,0.3501124650624591,341395971.88333344,20942606.78571429,320453365.0976192,0.6946424015758423,0.6677362355910428,0,0
27,0.6047486310108716,0.5109283160005457,403396778.5333335,24543283.885714293,378853494.6476192,0.7711561138595056,0.7491236621885786,0,0
28,0.6111563476992716,0.204489223468031,440641903.1000001,26220428.7,414421474.4000001,0.6855491555646998,0.5529761503959338,0,0
29,0.6214300832398991,0.3883994478852205,509888438.6166668,28778858.271428578,481109580.3452382,0.7937913819685471,0.707185239810648,0,0
30,0.593214843365168,0.4408299017209213,616057386.9,33456003.085714288,582601383.8142856,0.7501424029672081,0.6524328178540952,0,1
