agent_id,round_number,contribution,prop_of_wealth,threshold,prev_ldf_payout,is_democracy_round,shock_occurred,after_payout
1,24,11495243.0,2.692401271700656,7072002.272879289,0.0,False,0,0
1,28,10000000.0,0.7299714952179448,7072002.272879289,0.0,False,0,0
1,29,10000000.0,0.9504218239530552,7072002.272879289,0.0,False,0,0
2,20,17327707.0,4.651415538926543,7712986.492994988,0.0,True,0,0
2,26,10000000.0,0.5622199140863716,7712986.492994988,0.0,False,0,0
2,29,10000000.0,0.348634860239536,7712986.492994988,0.0,False,0,0
5,23,20000000.0,2.251265708214518,7334030.909552135,0.0,False,0,0
9,21,10000000.0,1.0054478554604471,5815618.984151073,0.0,False,0,0
9,26,6000000.0,0.4424113745734045,5815618.984151073,0.0,False,0,0
9,27,6000000.0,0.3495720445811024,5815618.984151073,0.0,False,0,0
10,16,2000000.0,0.4002180959927104,1901380.8405124177,0.0,False,0,0
10,19,4000000.0,0.8273022702367971,1901380.8405124177,0.0,False,0,0
11,27,27098600.0,2.8222399330440218,11289908.989288645,0.0,False,0,0
11,30,15000000.0,1.1914628270644598,11289908.989288645,0.0,True,0,0
12,26,10000000.0,0.5129011228409398,5290936.281886106,0.0,False,0,0
12,30,10000000.0,0.23328516414607,5290936.281886106,0.0,True,0,0
15,12,5338556.0,3.02552853958473,4939088.797399562,0.0,False,0,0
15,30,10000000.0,0.26272481303138,4939088.797399562,0.0,True,0,0
16,26,10000000.0,0.5826268157804005,7361260.161374394,0.0,False,0,0
16,27,10000000.0,0.5964647218954858,7361260.161374394,0.0,False,0,0
16,29,10000000.0,0.663996695481954,7361260.161374394,0.0,False,0,0
16,30,10000000.0,0.5703627399308882,7361260.161374394,0.0,True,0,0
23,13,5363263.0,2.5720304835852947,5161490.636982165,0.0,False,0,0
