round_number,ldf_pool_end,ldf_contributions_total,ldf_payouts_total,gross_damage_total,net_damage_total,coverage_ratio
1,33826170.0,33826170.0,0.0,0.0,0.0,
2,57354517.0,23528347.0,0.0,0.0,0.0,
3,97229020.0,39874503.0,0.0,0.0,0.0,
4,147113487.0,49884467.0,0.0,0.0,0.0,
5,202800413.0,55970426.0,283500.0,369000.0,85500.0,0.7682926829268293
6,265996147.0,63195734.0,0.0,0.0,0.0,
7,364229428.0,98233281.0,0.0,0.0,0.0,
8,530916339.0,166686911.0,0.0,0.0,0.0,
9,719682901.0,188766562.0,0.0,0.0,0.0,
10,930593244.0,211477343.0,567000.0,738000.0,171000.0,0.7682926829268293
11,1163935596.0,233342352.0,0.0,0.0,0.0,
12,1416967891.0,253032295.0,0.0,0.0,0.0,
13,1668040233.0,251072342.0,0.0,0.0,0.0,
14,1980529557.0,312489324.0,0.0,0.0,0.0,
15,2378467808.0,397938251.0,0.0,0.0,0.0,
16,2782242634.0,403774826.0,0.0,0.0,0.0,
17,3356898166.0,574655532.0,0.0,0.0,0.0,
18,3712814030.0,355915864.0,0.0,0.0,0.0,
19,4093230933.0,380416903.0,0.0,0.0,0.0,
20,4331819282.0,238588349.0,0.0,0.0,0.0,
21,4813615224.0,481795942.0,0.0,0.0,0.0,
22,5158798460.0,345183236.0,0.0,0.0,0.0,
23,5971031724.0,812233264.0,0.0,0.0,0.0,
24,6252442469.0,281410745.0,0.0,0.0,0.0,
25,6615223818.0,362781349.0,0.0,0.0,0.0,
26,7221846491.0,606622673.0,0.0,0.0,0.0,
27,8545895683.0,1324049192.0,0.0,0.0,0.0,
28,9329939565.0,784043882.0,0.0,0.0,0.0,
29,10774584272.0,1444644707.0,0.0,0.0,0.0,
30,13007116080.0,2232531808.0,0.0,0.0,0.0,
