agent_id,agent_group,institution_choice,mean_contribution,mean_prop_wealth,median_prop_wealth,std_prop_wealth,zero_share,autocorr_prop_lag1,autocorr_contrib_lag1,mean_abs_dev_from_peer_prop,mean_change_abs_dev_prop,n_rounds
0,developed,SI,39678034.86666667,0.5604743484802527,0.3570695942381873,0.6970226200282271,0.1,-0.09720029370476735,0.6101824682358231,0.49881971000315595,-0.0039726785402523996,30
1,developing,SFI,2340964.3666666667,0.5061914454911097,0.3463078618509684,0.6469181330068167,0.13333333333333333,-0.05449764658260432,0.38132849373456773,0.4104028617524374,-0.007872335321031406,30
2,developing,SFI,1745208.6666666667,0.40961816007059276,0.012552482735098649,1.1161266578085796,0.43333333333333335,-0.04857494608403604,0.08989295100894967,0.610081174890351,-0.0024877287926718507,30
3,developing,SFI,2434579.3333333335,0.5066180774698342,0.37982490583464,0.49720095304256917,0.1,-0.019417223591412278,0.6888688805997839,0.3531338756798986,0.0021712718741174735,30
4,developed,SI,45905835.06666667,0.5868830435139787,0.3103279568499028,0.7792658195003739,0.06666666666666667,-0.17655603707668815,0.28056521885431795,0.44364207045901716,-0.03136173203048154,30
5,developing,SFI,1569152.8,0.24286257278737972,0.01089049322148385,0.5010410817032535,0.43333333333333335,-0.01897513128111936,-0.09086865605984634,0.40635799854067567,0.0018397652657634101,30
6,developed,SI,34775650.8,0.3236334366621628,0.19977710407448523,0.5668194504799512,0.13333333333333333,-0.006234629498095813,0.10810583972111726,0.3292103114789991,0.015935730762046154,30
7,developed,SI,37984672.93333333,0.5209918099559369,0.4218960202090202,0.42298098599672546,0.03333333333333333,0.2406248430857042,0.5104919798456993,0.34685425464084385,0.004799619393743558,30
8,developing,SFI,154804.7,0.11078101648420262,0.0073759927531299,0.3807249220406187,0.1,-0.03360501666117395,-0.1522693597492581,0.3938513278149779,0.002323414643348896,30
9,developing,SFI,1871270.8666666667,0.37672176542261104,0.19600496727065156,0.6151147927425991,0.26666666666666666,0.04045967678147447,0.36427250684745044,0.38469840697993135,-0.030661212365658812,30
10,developing,SFI,692527.3333333334,0.28150435071547114,0.0562116104996219,0.539654036413796,0.13333333333333333,0.07284896758045732,-0.0027862373532682085,0.34711465487276866,0.0014736730957143301,30
11,developing,SFI,2517223.8333333335,0.2774437771188479,0.12451379761012804,0.5500527833398985,0.3333333333333333,-0.05360468894909245,-0.01488165967069262,0.39189285154917575,0.015339264215822136,30
12,developing,SFI,1520528.9666666666,0.37518339496510394,0.24468838324284065,0.45074439395729626,0.3,0.044294583319431154,-0.1819164745065681,0.3548733753935245,-0.006497859235738079,30
13,developing,SFI,2387652.7,0.564242348371476,0.25865678857307084,0.7624276193139945,0.1,-0.057240773326832105,0.19491240662393247,0.47655511172183335,-0.08840387167535481,30
14,developed,SI,40428565.46666667,0.33803137525892046,0.19533784806904902,0.5179792112023381,0.1,-0.03188403697857588,0.11848676628411474,0.32193650404622415,0.0010136403789038275,30
15,developing,SFI,1680719.3666666667,0.32539201806510387,0.21888765573915345,0.5736627648310831,0.26666666666666666,0.05983945945069611,0.2038333685726304,0.3668407999255674,-0.007592755532764063,30
16,developing,SFI,2352601.966666667,0.4031281050356429,0.18396839833160805,0.5439352118403997,0.3333333333333333,-0.022565529789646977,0.5804882420280366,0.40687395236131085,-0.007797751197152585,30
17,developing,SFI,2418465.2,0.3569310654080591,0.2015530885387451,0.5347370872620639,0.06666666666666667,-0.10196186710199362,0.32130356233353724,0.29333115522217373,0.04513358251393999,30
18,developed,SI,40497021.233333334,0.31168562784124876,0.1826123668061444,0.6272095130104243,0.06666666666666667,-0.016116603567656134,0.16861854240865853,0.32406926214214987,0.009814161421745186,30
19,developed,SI,20136804.8,0.1689455676260504,0.0493089010343086,0.2715340512915274,0.23333333333333334,-0.04022677562564211,0.44345150877180556,0.31754101569999815,0.0010270398545149547,30
20,developed,SI,27514153.5,0.3088673880520011,0.21917611750058655,0.32750691871763515,0.06666666666666667,0.4598246721345405,0.27361468813815515,0.28569993042485425,0.0048092547216663575,30
21,developed,SI,45034587.46666667,0.2773175937378111,0.08448071301441565,0.6318370714457676,0.13333333333333333,-0.06285092877906485,0.23468819865504906,0.3657394949350689,0.1062841556732681,30
22,developed,SI,18591056.2,0.18363791155909015,0.051953099012898254,0.2716988926481136,0.2,0.6314965568875174,0.2543377590986075,0.3035403137633698,0.0012587032493974997,30
23,developing,SFI,2013315.6333333333,0.38445523047373575,0.2369997451591047,0.6330322478478287,0.13333333333333333,-0.19210967194376452,0.544139317477443,0.4099235697241035,-0.0007887256803698215,30
24,developed,SI,31637621.333333332,0.3718810687333992,0.294980899151421,0.40734491187276706,0.06666666666666667,-0.1530426100555911,-0.1962326670760947,0.26266852303653915,-0.013260658613866055,30
25,developed,SI,25715866.6,0.4163063901094826,0.20084322723768985,0.6374596172203246,0.13333333333333333,0.011062972779543163,0.02888668623835117,0.3841624748528948,0.005080849215700677,30
