seed,si_agent_rounds,auto_fit_records,fallback_records,semantic_retry_records,auto_fit_share,fallback_share,retry_share,final_punishment_tokens,final_reward_tokens,raw_punishment_tokens,raw_reward_tokens,final_to_raw_punishment_ratio,final_to_raw_reward_ratio,sender_participation_share,received_punishment_effect,received_reward_effect,subsidy_total
1,360,160,1,1,0.4444444444444444,0.002777777777777778,0.002777777777777778,32192839.0,139809.0,59366035.0,477950.0,0.5422770612859693,0.2925180458206925,0.9972222222222222,96578517.0,139809.0,12859317.0
2,360,89,3,3,0.24722222222222223,0.008333333333333333,0.008333333333333333,60866890.0,4431231.0,80539436.0,6898786.0,0.7557402065740813,0.6423204024592153,0.9916666666666667,229772000.0,4431231.0,21686000.0
3,360,106,2,2,0.29444444444444445,0.005555555555555556,0.005555555555555556,44821607.0,97912.0,67404394.0,200000.0,0.6649656549096784,0.48956,0.9916666666666667,151881317.0,197912.0,12892920.0
4,360,48,43,43,0.13333333333333333,0.11944444444444445,0.11944444444444445,25748907.0,54872.0,65735910.0,359970.0,0.3917022978764575,0.15243492513264995,0.8472222222222222,81012221.0,60872.0,6968300.0
5,360,122,2,2,0.3388888888888889,0.005555555555555556,0.005555555555555556,30196822.0,1487406.0,49221970.0,2516775.0,0.6134825973036024,0.590996811395536,0.9944444444444445,74870506.0,1487406.0,6573214.0
6,360,139,5,5,0.3861111111111111,0.013888888888888888,0.013888888888888888,43082863.0,1181920.0,72011965.0,8900422.0,0.5982736757704085,0.13279370348956487,0.9805555555555555,129248589.0,2215868.0,12808775.0
7,360,51,3,2,0.14166666666666666,0.008333333333333333,0.005555555555555556,47136408.0,986428.0,62078208.0,1387090.0,0.7593068408160235,0.7111492404962908,0.9916666666666667,193762775.0,986428.0,12405872.0
8,360,129,0,0,0.35833333333333334,0.0,0.0,29037544.0,412923.0,43247036.0,566380.0,0.6714343151748018,0.7290564638581871,1.0,128923022.0,412923.0,15923684.0
9,360,118,11,11,0.3277777777777778,0.030555555555555555,0.030555555555555555,37949964.0,3266620.0,64701875.0,5507068.0,0.586535768862958,0.5931686334724757,0.9694444444444444,139053732.0,5445045.0,15021946.0
