left_out_agent,SI_mean_prop,SFI_mean_prop,diff_SI_minus_SFI
0,0.2905099237300424,0.3003704885036449,-0.009860564773602476
1,0.2905099237300424,0.3183247043108123,-0.02781478058076986
2,0.30210220088835904,0.295745304027546,0.006356896860813033
3,0.27240171324565166,0.295745304027546,-0.023343590781894352
4,0.2905099237300424,0.2859819130636461,0.004528010666396298
5,0.2990160847296542,0.295745304027546,0.003270780702108178
6,0.2865420727678937,0.295745304027546,-0.009203231259652334
7,0.2905099237300424,0.2846119091621977,0.005898014567844723
8,0.2905099237300424,0.29933818842140675,-0.00882826469136433
9,0.2905099237300424,0.2777735364869598,0.012736387243082625
10,0.2984368805652596,0.295745304027546,0.002691576537713569
11,0.2905099237300424,0.3167350824913269,-0.026225158761284506
12,0.2905099237300424,0.282939309540906,0.007570614189136404
13,0.30513450522778185,0.295745304027546,0.009389201200235842
14,0.2968485709601056,0.295745304027546,0.0011032669325595768
15,0.2905099237300424,0.2739799565036224,0.016529967226420028
16,0.30556971917766207,0.295745304027546,0.009824415150116061
17,0.2905099237300424,0.3166710657468913,-0.026161142016848882
18,0.2905099237300424,0.2771460614068568,0.013363862323185594
19,0.2905099237300424,0.3184119213895256,-0.027901997659483202
20,0.2905099237300424,0.27212422905519607,0.018385694674846353
21,0.27826710291794426,0.295745304027546,-0.017478201109601743
22,0.28813392170828034,0.295745304027546,-0.007611382319265669
23,0.27424311888503405,0.295745304027546,-0.021502185142511954
24,0.2905099237300424,0.3160258903026513,-0.025515966572608906
25,0.2794231936868821,0.295745304027546,-0.016322110340663887
