term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
contributors follow,102,9,2.5834429850266556,7.433306475570216
contribution peers,140,60,1.0032099485434536,6.501992436986841
follow strategy,183,95,0.8132037819822671,6.431073006815039
significant amount,61,11,1.8636456319827825,5.691555160283911
high contribution,201,132,0.576408814804724,5.145264470916325
contribute significant,51,12,1.5963517500548985,4.977239725406374
cumulative payoff,76,31,1.0476956399098452,4.91687211422626
peers strategy,52,14,1.4616452429245994,4.855866204872066
mostly following,49,2,3.3447747311665603,4.6476886453683806
self-interest cooperate,47,2,3.3028637985173965,4.585610527268902
following strategy,45,2,3.2591412829762767,4.5207907972363035
maximize cumulative,50,20,1.0650863162893298,4.0264816433598645
amount maximize,25,5,1.7554473198243716,3.586395375565632
payoff contribution,26,6,1.6126807172783355,3.5632405453042795
chosen contribute,65,36,0.7399903630652336,3.562246968424398
institution strategy,83,53,0.5981426000894672,3.4021030009024926
selfish-institution strategy,20,2,2.4454081523785245,3.304945265903829
maximize payoff,33,13,1.078835022631445,3.2956656082133384
substantial amount,19,3,1.9901065898818517,3.2080563395052213
high mcpr,57,33,0.6949924666118221,3.177670596791436
reward low,27,10,1.13994509632556,3.0806691414962013
cooperate considering,19,1,3.0823087009354913,3.0185323944040587
follow selfish-institution,18,1,3.0281476922553816,2.9613472782765564
selfish-institutional strategy,19,5,1.4803983452921532,2.9478271253016963
payoff considering,19,5,1.4803983452921532,2.9478271253016963
contributors strategy,46,26,0.7183408134035325,2.9281968986001043
considering mcpr,16,3,1.8179859716733153,2.893771167418467
balances self-interest,16,1,2.910188082726955,2.8365969586393285
emissions reduction,19,6,1.2983032907935854,2.7743471300819054
strategy contribution,14,2,2.088209432054474,2.7685979534982574
higher payoffs,16,4,1.5310286106284252,2.7416948875564526
follow selfish-institutional,16,4,1.5310286106284252,2.7416948875564526
reward higher,16,4,1.5310286106284252,2.7416948875564526
contribution substantial,13,2,2.0140334284748143,2.6574700902859507
following institution,14,3,1.6842978881543988,2.651193593838353
institution typical,22,9,1.0399751008193157,2.629507788602736
previous group,23,10,0.9791743933469021,2.5861092115175635
considering high,16,5,1.3082777270836168,2.5556308428361016
strategy high,12,2,1.9339318513984765,2.5376790350471072
selfish individualism,12,1,2.622222418552041,2.531023774012865
contributors penalized,13,3,1.6101218845747391,2.5173835684374173
considering past,14,4,1.3973405271095087,2.4672668050612003
cooperate self-interest,11,2,1.8468732605049833,2.4078159643619257
contribution significant,11,2,1.8468732605049833,2.4078159643619257
maximizing cumulative,12,3,1.5300203074984013,2.373651632188515
mcpr previous,20,9,0.9444642554581275,2.3540883704639914
amount considering,10,2,1.7515310126652484,2.2661083182600636
typical strategy,9,1,2.334449182779859,2.2247112249938987
use strategy,11,3,1.4429617166049082,2.2184911950751722
strategy contribute,9,2,1.6461586156262946,2.110285944208479
cooperate strategy,8,1,2.216682012004301,2.0993124106484267
top peers,8,1,2.216682012004301,2.0993124106484267
contribution top,8,1,2.216682012004301,2.0993124106484267
balance between,15,7,0.9075436404010873,1.983847185176301
strategy institution,7,1,2.0832061068277357,1.9573331510258671
institution historical,12,5,1.0203120629087028,1.918419631593328
between cooperate,9,3,1.2422470717262195,1.8659559675387627
considering institution,18,10,0.733557440275483,1.8606897106870597
contribution reward,14,7,0.8384754042344138,1.812391632095283
defectors free-riders,6,1,1.929170324274632,1.7939070619759196
contribution internal,6,1,1.929170324274632,1.7939070619759196
align past,6,1,1.929170324274632,1.7939070619759196
within institution,6,1,1.929170324274632,1.7939070619759196
strategy selfish,6,1,1.929170324274632,1.7939070619759196
amount institution,15,8,0.7740843367484764,1.769058621062432
typical behavior,11,5,0.9332534720152097,1.7317327922556678
contributors reward,41,32,0.39447483877055056,1.672576978214876
peers use,8,3,1.1244799009506625,1.6632610056123827
contributors used,5,1,1.74705867585594,1.6017281026304646
strategy previous,5,1,1.74705867585594,1.6017281026304646
used strategy,5,1,1.74705867585594,1.6017281026304646
budget low,5,1,1.74705867585594,1.6017281026304646
contribution members,5,1,1.74705867585594,1.6017281026304646
institution high,5,1,1.74705867585594,1.6017281026304646
balancing self-interest,5,1,1.74705867585594,1.6017281026304646
