round_number,institution_choice,mean,median,std,count
1,SFI,0.021760913151822235,0.0,0.044849328943137444,14
1,SI,0.47601818308310634,0.03710676811492105,0.883756666646658,12
2,SFI,0.6024716203008715,0.0022792674240058,2.218826911832483,14
2,SI,0.26156911152582263,0.15713852553917268,0.30008348725914724,12
3,SFI,0.1487183543183415,0.0613371472642287,0.24232323209073336,14
3,SI,0.40144185116257997,0.2202096095481905,0.5496049237527111,12
4,SFI,0.10471421282467457,0.01982805615711155,0.2082107063642279,14
4,SI,0.3411645777971628,0.18024220102759325,0.5233201612091352,12
5,SFI,0.3309987752713039,0.012100522129870199,1.1047788614649032,14
5,SI,0.3465790035219203,0.0898812236582857,0.6392637136529736,12
6,SFI,0.40476070042153495,0.033696696434874704,1.2435986942387371,14
6,SI,0.12716204200723671,0.02631595539408635,0.16051724412682294,12
7,SFI,0.2382867996882637,0.043971470245292896,0.3982970078103109,14
7,SI,0.2585697438629225,0.1778544114226783,0.23173317162922916,12
8,SFI,0.3816504321076405,0.04581788294544205,0.9398386211852607,14
8,SI,0.24417602941291114,0.16482561721679378,0.20486308533953881,12
9,SFI,0.2229018337006689,0.07424860217872645,0.26955025929331067,14
9,SI,0.4130267646328123,0.31858924679665085,0.48923701107308165,12
10,SFI,0.40561447131955125,0.05647101182092335,0.7378739785401183,14
10,SI,0.3846013842860643,0.3057186550686811,0.32843569072282236,12
11,SFI,0.2810198771539361,0.2426587349583054,0.26898903901909843,14
11,SI,0.3471206730399159,0.3606944451459727,0.19183895616242103,12
12,SFI,0.2786613283249329,0.09990685707348415,0.3548745017201191,14
12,SI,0.4077568015622957,0.4139703161032316,0.14562268957495672,12
13,SFI,0.26054466159161155,0.1753095559489737,0.26641311643564963,14
13,SI,0.3622754326134303,0.316848574321866,0.1100898679951814,12
14,SFI,0.3037335725170035,0.20952784613328443,0.35213869459003483,14
14,SI,0.3170171059147904,0.30718973598493854,0.0984425913189508,12
15,SFI,0.3170409235277774,0.1617208291833031,0.38336576144285767,14
15,SI,0.30152656862493094,0.25550956124848506,0.10799322121279076,12
16,SFI,0.25510026747741055,0.15245795518777303,0.30684782478305317,14
16,SI,0.3786575044069884,0.22065480198152748,0.4797787558539871,12
17,SFI,0.5290522341826837,0.12562393789073584,1.4918418082574472,14
17,SI,0.24250497932712023,0.21226897670006875,0.12595483523072926,12
18,SFI,0.1715660253324882,0.1164574014272576,0.19944491397214556,14
18,SI,0.3490632098954222,0.18637522731234568,0.5069934998936773,12
19,SFI,0.15120056474646892,0.0300959231794541,0.1941429908074779,14
19,SI,0.2164267653112969,0.2220879538426234,0.110151504389816,12
20,SFI,0.3626633844653246,0.0287527644210119,0.7322576292503274,14
20,SI,0.19071695402613287,0.1943046632469975,0.1075700553677889,12
21,SFI,0.179607135916918,0.02839912505530105,0.2562517336762134,14
21,SI,0.19298362731506058,0.16869051466284068,0.15598450914929857,12
22,SFI,0.21638446407870512,0.014099376528037201,0.367503361792462,14
22,SI,0.36678124615447305,0.16180046904019624,0.7125849348453606,12
23,SFI,0.2922802055841465,0.013595991721177,0.5359761601256784,14
23,SI,0.3660837836194311,0.1193858571045065,0.7818989970500133,12
24,SFI,0.15498914425454233,0.00605140761301575,0.48794271956251434,14
24,SI,0.17608896795869577,0.051750144900244446,0.20639540881092303,12
25,SFI,0.473267603489937,0.00648112044152175,1.5353420892786125,14
25,SI,0.1265476536377884,0.06358313093690851,0.15607061045906145,12
26,SFI,0.4341466924343966,0.02628090484545175,1.0869144588101354,14
26,SI,0.404392786604401,0.0695865020389354,1.0248498003419548,12
27,SFI,0.3384898573420328,0.01126644903271235,0.7785968830310454,14
27,SI,0.4070093029293161,0.10257890442370049,0.915106894421226,12
28,SFI,0.4235218821570576,0.04429665152674375,1.084101323092875,14
28,SI,0.1843636709581018,0.0483408223895126,0.20354003546189608,12
29,SFI,0.1605431385234528,0.01035228780673815,0.3193828945228155,14
29,SI,0.06254866205524943,0.0453115183853211,0.05153416088898483,12
30,SFI,0.42666804462088076,0.0245605443523066,1.013511228841677,14
30,SI,0.0611233246538915,0.050638274986691004,0.04137615112735581,12
