round_number,total_punishment_tokens,total_reward_tokens,n_punish_edges,n_reward_edges
1,9470.0,4177.0,36,34
2,5146.0,2212.0,30,18
3,264367.0,16366.0,30,25
4,257233.0,37507.0,32,26
5,527932.0,1207.0,32,25
6,13829.0,8984.0,35,37
7,448630.0,18175.0,29,23
8,17762.0,33828.0,39,29
9,29615.0,72785.0,28,26
10,1360448.0,57119.0,29,23
11,1137836.0,42441.0,30,21
12,1989396.0,780076.0,23,17
13,47550.0,20220.0,20,22
14,1459285.0,386235.0,19,24
15,30387.0,13099.0,50,35
16,32027.0,13644.0,47,34
17,18542.0,12959.0,38,28
18,3085.0,3281.0,40,24
19,12351.0,4298.0,34,28
20,13167.0,22870.0,30,29
21,17479.0,12483.0,34,21
22,9728.0,8288.0,39,23
23,12502.0,2430.0,30,21
24,1898562.0,88814.0,24,23
25,16435.0,16480.0,28,23
26,29648.0,19937.0,35,22
27,1517597.0,505769.0,37,30
28,31269.0,12301.0,37,29
29,31178.0,13778.0,27,24
30,274.0,466.0,22,25
