round_number,mean_prop,median_prop,std_prop,iqr_prop,zero_share
1,0.23141811465856874,0.0,0.6308968101343805,0.09599017307421932,0.5384615384615384
2,0.4451320008662336,0.01678736081881175,1.6216409334652155,0.17217046230067143,0.15384615384615385
3,0.2653599682464516,0.07471584310184815,0.42420662420946215,0.24741420481645643,0.11538461538461539
4,0.21384515050428451,0.05229810496307545,0.39685426444509103,0.19681544732463896,0.3076923076923077
5,0.33818964984851146,0.04551889930674555,0.9025248999043632,0.13037416366275187,0.23076923076923078
6,0.2766382426918588,0.033696696434874704,0.9140316540610961,0.1772515246599341,0.3076923076923077
7,0.2476481585381062,0.11325924062371465,0.32592561959014343,0.24925281194412768,0.15384615384615385
8,0.31820070778699616,0.10911811935967469,0.6947411587848041,0.2387676886385935,0.0
9,0.3106518018231966,0.2536557347402193,0.3904354095390139,0.3996453771095953,0.07692307692307693
10,0.39591612345794186,0.2583362744328652,0.5750609439083899,0.47530628265185687,0.038461538461538464
11,0.3115279367936191,0.3606944451459727,0.23440758306006013,0.45907112818764034,0.0
12,0.33824385443448496,0.3345884149189919,0.2812911788308254,0.424949797563969,0.0
13,0.3074973251401433,0.3096110680953825,0.21193171830606752,0.3089864215186461,0.0
14,0.30986443408521286,0.30718973598493854,0.2622794019866241,0.3316838017162108,0.038461538461538464
15,0.309880452034156,0.25550956124848506,0.28568823196330656,0.35115829067208376,0.038461538461538464
16,0.3121266845218311,0.22065480198152748,0.39266938816403896,0.3079228723383437,0.038461538461538464
17,0.39679965501857745,0.19011224359014295,1.0888114467811154,0.23324696055198002,0.07692307692307693
18,0.2534878028230731,0.1824995734762292,0.37673101515675905,0.22100964481314242,0.038461538461538464
19,0.18130496500715879,0.1897356226359383,0.16136254133329764,0.24933295450522552,0.07692307692307693
20,0.2833034934933899,0.16122968622060496,0.5399607262491041,0.23943216178387852,0.07692307692307693
21,0.18578090117759918,0.1407805398180198,0.21189085564483615,0.18225431625153884,0.07692307692307693
22,0.2857983634982903,0.10149153466189764,0.547264774477022,0.20446788651020423,0.07692307692307693
23,0.3263433954465856,0.050168763835859845,0.6479116614614019,0.2603230356274866,0.15384615384615385
24,0.16472752442569005,0.0280773817516861,0.37770950078017235,0.12026666133136954,0.3076923076923077
25,0.3132430112504838,0.04070659927629395,1.1258648187899705,0.12439484516978597,0.19230769230769232
26,0.4204141205128601,0.052905100718205395,1.0376355457098,0.20601583287143138,0.07692307692307693
27,0.37011421684385587,0.04382545071358585,0.8275925002551701,0.23838407689293006,0.07692307692307693
28,0.31314116929600105,0.0469022191056594,0.8025927032723023,0.2577028692344153,0.038461538461538464
29,0.11531491861505126,0.03543637849230955,0.2381036514162738,0.0795352725884193,0.11538461538461539
30,0.2579550969438088,0.0448224115536311,0.7546100123517392,0.11007514295147451,0.07692307692307693
