shock_round,window,rounds,institution_choice,n_agent_rounds,n_agents,mean_prop_wealth,median_prop_wealth,std_prop_wealth,iqr_prop_wealth,zero_share,mean_contribution,median_contribution,std_contribution
5,pre,"2,3,4",SI,36,12,0.3347251801618551,0.19337506586450298,0.4611757946271662,0.41006188033440494,0.1111111111111111,1780044.611111111,1200000.0,2681664.8380571376
5,during,5,SI,12,12,0.3465790035219203,0.0898812236582857,0.6392637136529737,0.3368759004184367,0.08333333333333333,1765136.6666666667,1040000.0,2145958.368460426
5,post_immediate,6,SI,12,12,0.12716204200723671,0.02631595539408635,0.16051724412682292,0.2888161599657413,0.4166666666666667,1052569.1666666667,615415.0,1280132.3895133114
5,post_later,"7,8",SI,24,12,0.2513728866379168,0.16482561721679378,0.2140300351072207,0.25614156585512327,0.041666666666666664,2285373.6666666665,1500000.0,1589965.8871348444
5,post_wide,"6,7,8,9",SI,48,12,0.2607336449789706,0.16482561721679378,0.3082009047635042,0.3037108911763632,0.125,2382603.4583333335,1500000.0,2170457.293786608
5,pre,"2,3,4",SFI,42,14,0.28530139581462927,0.0095670340521056,1.282666211176543,0.06737020434157305,0.2619047619047619,28781.380952380954,1069.0,67064.94359508783
5,during,5,SFI,14,14,0.3309987752713039,0.012100522129870199,1.1047788614649032,0.055071416564614145,0.35714285714285715,81807.5,5534.5,264673.5179428974
5,post_immediate,6,SFI,14,14,0.40476070042153484,0.033696696434874704,1.2435986942387371,0.04745107874198905,0.21428571428571427,57364.142857142855,21312.0,113994.03089221359
5,post_later,"7,8",SFI,28,14,0.30996861589795216,0.043971470245292896,0.7120407484602143,0.22421092086478586,0.10714285714285714,60100.67857142857,30830.0,87476.95883935234
5,post_wide,"6,7,8,9",SFI,56,14,0.311899941479527,0.04079235106849345,0.797385590132097,0.24512872520669557,0.14285714285714285,62122.017857142855,30830.0,91304.14091883757
5,pre,"2,3,4",ALL,78,26,0.3081123732056565,0.05690033337726075,0.9865708481483967,0.23090886168752384,0.19230769230769232,837056.717948718,33966.5,2010788.9110755606
5,during,5,ALL,26,26,0.3381896498485114,0.04551889930674555,0.9025248999043634,0.13037416366275187,0.23076923076923078,858728.6538461539,30830.0,1671844.2986557796
5,post_immediate,6,ALL,26,26,0.2766382426918588,0.033696696434874704,0.9140316540610961,0.1772515246599341,0.3076923076923077,516689.53846153844,30827.0,991862.4857767827
5,post_later,"7,8",ALL,52,26,0.2829244331625512,0.11325924062371465,0.5384623949409642,0.24970165788618426,0.07692307692307693,1087149.75,124123.0,1548835.2516688004
5,post_wide,"6,7,8,9",ALL,104,26,0.28828472771003943,0.0930142242793936,0.619288656488419,0.29409132289965867,0.1346153846153846,1133113.451923077,103000.0,1872234.9836705183
10,pre,"7,8,9",SI,36,12,0.3052575126362153,0.2402912573734167,0.33361829684113187,0.34249012891919406,0.027777777777777776,2825948.222222222,2000000.0,2236589.2455221075
10,during,10,SI,12,12,0.3846013842860642,0.3057186550686811,0.3284356907228223,0.3046999873363292,0.0,5465796.666666667,4500000.0,3664788.1072005774
10,post_immediate,11,SI,12,12,0.3471206730399159,0.3606944451459727,0.19183895616242103,0.22935974088135583,0.0,6437799.666666667,6926798.0,3577726.697646968
10,post_later,"12,13",SI,24,12,0.385016117087863,0.38890282213766736,0.1283667544365895,0.12256195678406862,0.0,11242424.208333334,12000000.0,3442841.2825423833
10,post_wide,"11,12,13,14",SI,48,12,0.3585425032826081,0.3270195234124723,0.14062907428007163,0.16076991905886046,0.0,10372707.458333334,10818181.0,4039021.8577128663
10,pre,"7,8,9",SFI,42,14,0.2809463551655244,0.043971470245292896,0.5988678889951555,0.25297499468355794,0.11904761904761904,63707.97619047619,30830.0,83979.0429488761
10,during,10,SFI,14,14,0.4056144713195512,0.05647101182092335,0.7378739785401182,0.4870550493249386,0.07142857142857142,90960.85714285714,30830.0,113134.9044105223
10,post_immediate,11,SFI,14,14,0.2810198771539361,0.2426587349583054,0.2689890390190984,0.48435928853687144,0.0,95978.42857142857,110000.0,74722.50469335428
10,post_later,"12,13",SFI,28,14,0.2696029949582722,0.09990685707348415,0.3080495199991112,0.4388300908702904,0.0,89810.10714285714,113000.0,73985.61692670497
10,post_wide,"11,12,13,14",SFI,56,14,0.28098985989687103,0.1054950580628293,0.30527668489629434,0.464830896492737,0.017857142857142856,92700.98214285714,120000.0,73726.24300046294
10,pre,"7,8,9",ALL,78,26,0.29216688938276636,0.12898740596482944,0.4916358923806174,0.3398626832942401,0.07692307692307693,1338588.0897435897,128246.0,2048993.4468569835
10,during,10,ALL,26,26,0.39591612345794186,0.2583362744328652,0.5750609439083899,0.47530628265185687,0.038461538461538464,2571654.3076923075,300000.0,3658252.3916740105
10,post_immediate,11,ALL,26,26,0.3115279367936191,0.3606944451459727,0.23440758306006013,0.45907112818764034,0.0,3022972.846153846,200000.0,4003741.507618889
10,post_later,"12,13",ALL,52,26,0.32287058978731414,0.3182549127656628,0.24707242927230258,0.3988190584694267,0.0,5237170.461538462,200000.0,6071716.893188038
10,post_wide,"11,12,13,14",ALL,104,26,0.3167833876133651,0.31797821489659056,0.24555482326355654,0.4177507221232322,0.009615384615384616,4837319.355769231,200000.0,5827976.024163315
