round_number,target_id,prop,prop_rank,n_agents
2,3,0.0196699526196737,13.0,26
2,5,0.2751490218566919,5.0,26
2,7,0.0139047690179498,14.0,26
2,8,0.0026077065027899,18.0,26
2,9,8.311191195575885,1.0,26
3,1,0.0073373952609624,21.0,26
3,4,0.2081576383742769,9.0,26
3,11,0.0629156672926456,16.0,26
3,15,0.0,24.0,26
3,24,0.04266100531561,19.0,26
4,14,0.6648611877569607,3.0,26
4,15,0.4455254504983877,5.0,26
4,0,0.0,19.0,26
4,3,0.4149769530827568,6.0,26
4,14,0.6648611877569607,3.0,26
5,7,0.0,21.0,26
5,8,0.0,21.0,26
5,10,0.0406669836450188,14.0,26
5,18,0.0347078014902,16.0,26
5,23,0.0381733974037743,15.0,26
6,4,0.0,19.0,26
6,5,0.0,19.0,26
6,7,0.0,19.0,26
6,8,4.693819167544251,1.0,26
6,24,0.0401580003904275,12.0,26
7,2,0.1452603213123445,12.0,26
7,3,0.1239026023945045,13.0,26
7,4,0.0,23.0,26
7,5,0.2940175366551891,7.0,26
7,6,0.2701340132138213,8.0,26
8,4,0.2355679307241829,9.0,26
8,7,3.578572870815328,1.0,26
8,23,0.5861149066031106,4.0,26
8,24,0.0502090641443247,18.0,26
8,4,0.2355679307241829,9.0,26
9,16,0.0621807463440294,17.0,26
9,25,0.6646155508306214,3.0,26
9,14,0.4219532747059452,9.0,26
9,25,0.6646155508306214,3.0,26
9,2,0.4402788869707471,7.0,26
10,8,0.0800412308213147,17.0,26
10,24,0.0,26.0,26
10,8,0.0800412308213147,17.0,26
10,24,0.0,26.0,26
10,8,0.0800412308213147,17.0,26
11,24,0.0452514812754997,19.0,26
11,24,0.0452514812754997,19.0,26
11,24,0.0452514812754997,19.0,26
11,24,0.0452514812754997,19.0,26
11,24,0.0452514812754997,19.0,26
12,2,0.398078669585843,12.0,26
12,9,0.3161791198693472,15.0,26
12,14,0.4423013290517287,9.0,26
12,21,0.5369174425986261,5.0,26
12,2,0.398078669585843,12.0,26
13,14,0.4124722165452921,7.0,26
13,14,0.4124722165452921,7.0,26
13,3,0.3837684756511257,10.0,26
13,14,0.4124722165452921,7.0,26
13,3,0.3837684756511257,10.0,26
14,10,0.4765698156776218,6.0,26
14,10,0.4765698156776218,6.0,26
14,14,0.3124427296590372,12.0,26
14,10,0.4765698156776218,6.0,26
14,10,0.4765698156776218,6.0,26
15,12,0.0,26.0,26
15,12,0.0,26.0,26
15,16,0.1916152135551607,19.0,26
15,3,0.4510924186298593,7.0,26
15,12,0.0,26.0,26
16,12,0.0,26.0,26
16,14,0.1936179077925757,15.0,26
16,12,0.0,26.0,26
16,12,0.0,26.0,26
16,14,0.1936179077925757,15.0,26
17,12,5.690042407106494,1.0,26
17,12,5.690042407106494,1.0,26
17,6,0.3955953249078994,3.0,26
17,12,5.690042407106494,1.0,26
17,6,0.3955953249078994,3.0,26
18,8,0.0203968969043236,21.0,26
18,0,0.0,26.0,26
18,8,0.0203968969043236,21.0,26
18,0,0.0,26.0,26
18,8,0.0203968969043236,21.0,26
19,0,0.0,25.0,26
19,0,0.0,25.0,26
19,0,0.0,25.0,26
19,0,0.0,25.0,26
19,0,0.0,25.0,26
20,18,0.0,25.0,26
20,0,0.0,25.0,26
20,18,0.0,25.0,26
20,0,0.0,25.0,26
20,18,0.0,25.0,26
21,18,0.0,25.0,26
21,25,0.1620543029060041,13.0,26
21,0,0.0,25.0,26
21,18,0.0,25.0,26
21,25,0.1620543029060041,13.0,26
22,18,0.0,25.0,26
22,0,0.00088293616309,22.0,26
22,18,0.0,25.0,26
22,0,0.00088293616309,22.0,26
22,18,0.0,25.0,26
23,15,0.2852172393774504,7.0,26
23,18,0.0508407047997518,13.0,26
23,15,0.2852172393774504,7.0,26
23,18,0.0508407047997518,13.0,26
23,1,0.0003765894599056,21.0,26
24,7,0.0,19.0,26
24,9,0.1991429233500213,6.0,26
24,14,0.0,19.0,26
24,0,0.0,19.0,26
24,7,0.0,19.0,26
25,3,0.1387680660960756,7.0,26
25,4,0.0,22.0,26
25,6,0.141904833037375,6.0,26
25,7,0.0012162453713842,19.0,26
25,14,0.0565789176479457,10.0,26
26,4,0.4777210684955101,4.0,26
26,10,0.0646103683956031,13.0,26
26,12,0.7494178451752143,3.0,26
26,15,0.1655072860719192,10.0,26
26,22,0.206503980820604,8.0,26
27,3,3.2772846885063207,1.0,26
27,18,2.862036124989609,2.0,26
27,3,3.2772846885063207,1.0,26
27,18,2.862036124989609,2.0,26
27,3,3.2772846885063207,1.0,26
28,15,4.1286189637110144,1.0,26
28,0,0.0498276660342539,13.0,26
28,15,4.1286189637110144,1.0,26
28,0,0.0498276660342539,13.0,26
28,15,4.1286189637110144,1.0,26
29,7,0.0,24.0,26
29,7,0.0,24.0,26
29,7,0.0,24.0,26
29,7,0.0,24.0,26
29,7,0.0,24.0,26
30,4,3.614321911758231,1.0,26
30,7,0.0012909883629553,22.0,26
30,15,1.6437388577987395,2.0,26
30,4,3.614321911758231,1.0,26
30,7,0.0012909883629553,22.0,26
