shock_round,agent_id,institution_choice,agent_group,mean_prop_pre,mean_prop_during,mean_prop_post,delta_post_minus_pre,delta_during_minus_pre
5,0,SFI,developing,0.0,0.0,0.136203847039065,0.136203847039065,0.0
5,1,SFI,developing,0.0068072544932631,0.003588763310149,0.00254757358063015,-0.00425968091263295,-0.0032184911831141002
5,2,SI,developed,0.1344956498285006,0.5739957051718322,0.07263016065617225,-0.06186548917232834,0.4395000553433316
5,3,SI,developed,1.1848744101551372,0.0528519052501109,0.06195130119725225,-1.1229231089578848,-1.1320225049050263
5,4,SFI,developing,0.14881786527909324,0.0,0.0,-0.14881786527909324,-0.14881786527909324
5,5,SI,developed,0.60690766573863,0.0,0.14700876832759455,-0.4598988974110354,-0.60690766573863
5,6,SI,developed,1.2957378218429574,0.3220238452853053,0.13506700660691065,-1.1606708152360468,-0.9737139765576521
5,7,SFI,developing,0.0389192805226125,0.0,0.0,-0.0389192805226125,-0.0389192805226125
5,8,SFI,developing,0.3616740797797218,0.0,3.0167648558142264,2.6550907760345046,-0.3616740797797218
5,9,SFI,developing,0.6979000001344942,0.057900459845452,0.3131696597701027,-0.38473034036439147,-0.6399995402890422
5,10,SI,developed,0.00616369760120475,0.0406669836450188,0.3976853618834413,0.3915216642822365,0.03450328604381405
5,11,SFI,developing,0.06324991282973966,0.0529105795759327,0.04657542259170515,-0.01667449023803451,-0.01033933325380696
5,12,SFI,developing,0.0503426265619335,0.0206122809495914,0.038395096454387004,-0.011947530107546497,-0.029730345612342102
5,13,SI,developed,0.02987734464665925,0.0503708149684723,0.0483519393965537,0.018474594749894453,0.02049347032181305
5,14,SI,developed,0.33243059387848034,0.1269105420664605,0.25876131527652024,-0.0736692786019601,-0.20552005181201985
5,15,SFI,developing,0.22276272524919385,0.2429345869000256,0.1846018419179013,-0.038160883331292555,0.020171861650831735
5,16,SI,developed,0.1817745934525377,0.1352237594876558,0.11541060762737654,-0.06636398582516118,-0.04655083396488191
5,17,SFI,developing,0.06741146441003346,0.0557916955608413,0.048795419052445846,-0.01861604535758761,-0.011619768849192157
5,18,SFI,developing,0.0298793136179059,0.0347078014902,0.03539482970855205,0.005515516090646152,0.004828487872294101
5,19,SFI,developing,0.00371953161871905,0.0024988008560905,0.00194300249819765,-0.0017765291205214,-0.0012207307626285499
5,20,SFI,developing,0.0612134128465973,4.163037885309972,0.6568619521461635,0.5956485392995662,4.101824472463375
5,21,SI,developed,0.2432212176391729,2.273166560806559,0.28379941028323163,0.040578192644058736,2.029945343167386
5,22,SI,developed,0.21867721712324606,0.0039581140211924,0.0525650173014185,-0.16611219982182757,-0.21471910310205367
5,23,SI,developed,0.1378354736241897,0.0381733974037743,0.16767568678396336,0.029840213159773643,-0.09966207622041541
5,24,SFI,developing,0.021330502657805,0.0,0.02007900019521375,-0.0012515024625912481,-0.021330502657805
5,25,SI,developed,0.0836428882277408,0.5416064141566616,0.5734841398805199,0.48984125165277914,0.45796352592892076
10,0,SFI,developing,0.4514047049493888,0.8030790509716565,0.6507845958541312,0.1993798909047424,0.35167434602226777
10,1,SFI,developing,0.001696823202457,0.0012861736555471,0.0010172222198512998,-0.0006796009826057002,-0.0004106495469099001
10,2,SI,developed,0.41799350775211963,0.3307822319697817,0.42869354490805955,0.010700037155939923,-0.08721127578233795
10,3,SI,developed,1.0027941370250228,0.0870793039784129,0.36675528395796186,-0.636038853067061,-0.9157148330466099
10,4,SFI,developing,0.24047423018390213,0.5361650199507003,0.4509916052682773,0.21051737508437518,0.2956907897667982
10,5,SI,developed,0.0954055782196,0.2974402598591457,0.5769182214584332,0.4815126432388332,0.2020346816395457
10,6,SI,developed,0.3059462094510721,0.1901033473190394,0.42963411310783595,0.12368790365676385,-0.11584286213203268
10,7,SFI,developing,1.9202519053260727,0.4365373260617023,0.5548560401888261,-1.3653958651372466,-1.4837145792643704
10,8,SFI,developing,0.09545305369272965,0.0800412308213147,0.05511129367561895,-0.0403417600171107,-0.015411822871414946
10,9,SFI,developing,0.2267655850313835,0.022997150258846,0.41555478245193456,0.18878919742055106,-0.2037684347725375
10,10,SI,developed,0.3035190353697992,0.8663654710526678,0.1773970022310149,-0.12612203313878428,0.5628464356828686
