term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
strategy,518,231,0.9887711841559774,12.497799586150311
following,81,16,1.7750754095054475,6.4900965041252086
self-interest,65,4,2.9388654148147424,5.711556665667211
follow,262,177,0.5504944955833615,5.65807451528294
significant,66,18,1.4508354773037855,5.457434738916068
payoff,129,67,0.8092161363230392,5.373977434305612
maximize,85,36,1.011301428689471,5.086260685534997
cumulative,76,31,1.048388629668196,4.920124339289039
emissions,29,6,1.7233712857711811,3.845314646357761
considering,93,59,0.6060889080918379,3.641779119893817
framework,24,3,2.2254327263937066,3.63957879288304
selfish-institution,21,2,2.495542271909054,3.380051566891815
penalized,29,12,1.030514630153089,3.003320647959646
chosen,70,46,0.5696230838384864,3.001423686469422
selfish,18,4,1.6503198465764992,2.9887425590744243
substantial,19,5,1.4817275874315268,2.950473964273788
higher,21,7,1.2458880029133805,2.8563865116183993
reward,63,42,0.5548554141431996,2.785639433784377
selfish-institutional,19,6,1.29964848783138,2.7772216845620985
reduction,19,6,1.29964848783138,2.7772216845620985
typical,22,9,1.04131314817654,2.632890952242489
individualism,12,1,2.6236161371353743,2.5323690202603775
free-riders,10,2,1.752977283160666,2.2679794844434893
between,19,9,0.8944673174106725,2.211484323411623
aligning,8,1,2.218148933028613,2.100701660660427
top,8,1,2.218148933028613,2.100701660660427
maximizing,13,5,1.1018528358059303,2.095577426644917
maintaining,10,3,1.3490816847583789,2.0522631198334977
mcpr,118,105,0.2662624116873342,1.984781439497008
choosing,16,8,0.8401362959540961,1.9412218462921769
within,8,2,1.5298743082411406,1.9392606153124552
public,6,1,1.9306738215543087,1.7953051419451869
amount,191,185,0.18190280685804794,1.763435509907126
benefits,7,2,1.3964166932714992,1.7452948244176054
account,8,3,1.1259787098388543,1.665477950865461
historical,31,23,0.4462100957087607,1.6217029050946452
global,5,1,1.7485804550269917,1.6031232912969682
demonstrate,5,1,1.7485804550269917,1.6031232912969682
used,5,1,1.7485804550269917,1.6031232912969682
inclusion,5,1,1.7485804550269917,1.6031232912969682
avoid,14,8,0.7064848553173686,1.5948855557308503
maximum,22,15,0.5303896592820099,1.5844451463441198
individual,10,5,0.8394053405630384,1.5338138793425076
return,17,11,0.5824447428511412,1.5057971835283637
marginal,17,11,0.5824447428511412,1.5057971835283637
high,445,470,0.09628191613241377,1.455686537429786
unit,12,7,0.6856872433522287,1.4426179319555055
current,14,9,0.5887502541770306,1.3786686848586902
optimal,8,4,0.8390372974243707,1.371568420856432
optimizing,8,4,0.8390372974243707,1.371568420856432
gain,4,1,1.5258312590977434,1.3705267688114493
good,4,1,1.5258312590977434,1.3705267688114493
commitment,4,1,1.5258312590977434,1.3705267688114493
set,4,1,1.5258312590977434,1.3705267688114493
players,4,1,1.5258312590977434,1.3705267688114493
per,15,10,0.5524603505271788,1.3538322234734368
requires,5,2,1.0603058302395194,1.2699291292449144
allowed,5,2,1.0603058302395194,1.2699291292449144
align,11,7,0.59864695931382,1.2389279654975265
index,6,3,0.8385035983645501,1.187468630692971
reputation,7,4,0.7055796824547294,1.1269028171777826
payoffs,21,17,0.3585211060638027,1.0991927477233567
seen,8,5,0.6163023656435129,1.0819905398055913
like,3,1,1.2388755853128348,1.077354431713279
high-contributor,3,1,1.2388755853128348,1.077354431713279
fund,3,1,1.2388755853128348,1.077354431713279
leveraging,3,1,1.2388755853128348,1.077354431713279
likely,3,1,1.2388755853128348,1.077354431713279
indicate,3,1,1.2388755853128348,1.077354431713279
incentive,3,1,1.2388755853128348,1.077354431713279
developed,366,0,10.69348078376835,1.069333470494993
binding,360,0,10.67630039000194,1.0676152115259872
treaty,360,0,10.67630039000194,1.0676152115259872
previous,86,86,0.14789858459554317,0.9698922604842888
patterns,4,2,0.8375566343102712,0.9691391822452654
strategies,4,2,0.8375566343102712,0.9691391822452654
free-rider,4,2,0.8375566343102712,0.9691391822452654
beliefs,16,13,0.3546572299621449,0.9501549339527191
group,46,44,0.1919441812681395,0.910347591955227
decision,5,3,0.6564102318372331,0.9000989780532054
usd,6,4,0.5515621859500666,0.8554015752127387
credibility,32,0,8.22122987179231,0.8219946006730716
rounds,25,23,0.23054743035902447,0.7981129605159204
billion,20,0,7.750156575462966,0.7748220730153521
wealth,12,10,0.3291694792690514,0.7691294583898809
approach,10,0,7.056462650217692,0.7052940582291655
advantage,9,0,6.951108551706894,0.6947254318778628
incentivized,2,1,0.8349657283172771,0.6845795066344023
experience,2,1,0.8349657283172771,0.6845795066344023
endowment,2,1,0.8349657283172771,0.6845795066344023
typically,2,1,0.8349657283172771,0.6845795066344023
exceptions,2,1,0.8349657283172771,0.6845795066344023
trends,2,1,0.8349657283172771,0.6845795066344023
stage,8,0,6.8333596752981665,0.6829098147178482
self-interested,7,0,6.699902060328525,0.6695128349668779
incentivization,7,0,6.699902060328525,0.6695128349668779
incentivizing,7,0,6.699902060328525,0.6695128349668779
contribution,556,621,0.03828584339119523,0.6557478802313303
stability,6,0,6.545884563823862,0.6540445522947974
support,5,0,6.363791197296545,0.6357449600108748
defectors,20,19,0.19830555623859958,0.6191642219027176
environment,4,0,6.141042001367297,0.6133399133438434
increase,4,0,6.141042001367297,0.6133399133438434
maintains,4,0,6.141042001367297,0.6133399133438434
show,4,0,6.141042001367297,0.6133399133438434
close,4,0,6.141042001367297,0.6133399133438434
emerging,4,0,6.141042001367297,0.6133399133438434
strict,4,0,6.141042001367297,0.6133399133438434
social,3,2,0.5506009605253634,0.6044583518217481
previous-round,3,2,0.5506009605253634,0.6044583518217481
expected,3,2,0.5506009605253634,0.6044583518217481
max,3,2,0.5506009605253634,0.6044583518217481
internal,18,17,0.20413569154801792,0.6037677153573031
data,17,16,0.20758350966607786,0.5961453197276447
part,3,0,5.854086327582389,0.5844386095023582
example,3,0,5.854086327582389,0.5844386095023582
initial,3,0,5.854086327582389,0.5844386095023582
capacity,3,0,5.854086327582389,0.5844386095023582
different,3,0,5.854086327582389,0.5844386095023582
fact,3,0,5.854086327582389,0.5844386095023582
maximal,3,0,5.854086327582389,0.5844386095023582
aiming,4,3,0.4336610359079849,0.568639836086039
prior,4,3,0.4336610359079849,0.568639836086039
card,4,3,0.4336610359079849,0.568639836086039
costs,4,3,0.4336610359079849,0.568639836086039
similar,5,4,0.36946881942274956,0.5513984911196043
punishment,5,4,0.36946881942274956,0.5513984911196043
directly,2,0,5.450176470586832,0.5436669197105292
reduce,2,0,5.450176470586832,0.5436669197105292
simple,2,0,5.450176470586832,0.5436669197105292
deviated,2,0,5.450176470586832,0.5436669197105292
simple-folk-institution,2,0,5.450176470586832,0.5436669197105292
goods,2,0,5.450176470586832,0.5436669197105292
suggest,2,0,5.450176470586832,0.5436669197105292
detected,2,0,5.450176470586832,0.5436669197105292
dominating,2,0,5.450176470586832,0.5436669197105292
effort,2,0,5.450176470586832,0.5436669197105292
similarly,2,0,5.450176470586832,0.5436669197105292
goal,2,0,5.450176470586832,0.5436669197105292
optimize,2,0,5.450176470586832,0.5436669197105292
negative,2,0,5.450176470586832,0.5436669197105292
exploit,2,0,5.450176470586832,0.5436669197105292
game,2,0,5.450176470586832,0.5436669197105292
fair,2,0,5.450176470586832,0.5436669197105292
preserving,2,0,5.450176470586832,0.5436669197105292
deviations,2,0,5.450176470586832,0.5436669197105292
maximally,2,0,5.450176470586832,0.5436669197105292
playing,2,0,5.450176470586832,0.5436669197105292
want,2,0,5.450176470586832,0.5436669197105292
starting,2,0,5.450176470586832,0.5436669197105292
identified,2,0,5.450176470586832,0.5436669197105292
funding,1,0,4.761887589982432,0.47384875093534856
behaviors,1,0,4.761887589982432,0.47384875093534856
start,1,0,4.761887589982432,0.47384875093534856
unlikely,1,0,4.761887589982432,0.47384875093534856
come,1,0,4.761887589982432,0.47384875093534856
scenario,1,0,4.761887589982432,0.47384875093534856
portion,1,0,4.761887589982432,0.47384875093534856
overexertion,1,0,4.761887589982432,0.47384875093534856
room,1,0,4.761887589982432,0.47384875093534856
exploring,1,0,4.761887589982432,0.47384875093534856
instances,1,0,4.761887589982432,0.47384875093534856
wasting,1,0,4.761887589982432,0.47384875093534856
nearly,1,0,4.761887589982432,0.47384875093534856
overburdening,1,0,4.761887589982432,0.47384875093534856
earn,1,0,4.761887589982432,0.47384875093534856
perceived,1,0,4.761887589982432,0.47384875093534856
affects,1,0,4.761887589982432,0.47384875093534856
1-11,1,0,4.761887589982432,0.47384875093534856
inspection,1,0,4.761887589982432,0.47384875093534856
earnings,1,0,4.761887589982432,0.47384875093534856
chances,1,0,4.761887589982432,0.47384875093534856
through,1,0,4.761887589982432,0.47384875093534856
trustworthy,1,0,4.761887589982432,0.47384875093534856
packages,1,0,4.761887589982432,0.47384875093534856
threshold,1,0,4.761887589982432,0.47384875093534856
stand,1,0,4.761887589982432,0.47384875093534856
aid,1,0,4.761887589982432,0.47384875093534856
mix,1,0,4.761887589982432,0.47384875093534856
multiplier,1,0,4.761887589982432,0.47384875093534856
rate,1,0,4.761887589982432,0.47384875093534856
sufficient,1,0,4.761887589982432,0.47384875093534856
near,1,0,4.761887589982432,0.47384875093534856
staying,1,0,4.761887589982432,0.47384875093534856
