agent_id,punish_tokens_received
14,3143560.0
10,2257568.0
6,2182367.0
16,1479832.0
22,1076670.0
13,492709.0
5,207310.0
3,186940.0
23,127676.0
2,59578.0
21,16581.0
25,11939.0
