institution_choice,near_demo,mean,median,count
SFI,False,0.2731710799221502,0.0373902241894224,336
SFI,True,0.3860422004491292,0.02976968953576635,84
SI,False,0.3043417842979393,0.19786108925787074,288
SI,True,0.2351824814584547,0.1377438399477883,72
