run,source_file,round_number,si_members,sfi_members,si_population,sfi_population,si_total_contribution,sfi_total_contribution,si_avg_contribution,sfi_avg_contribution,cooperation_rate,gini_wealth
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,2;3;5;6;10;13;14;16;21;22;23;25,1;0;4;7;8;9;11;12;15;17;18;19;20;24,12,14,9542500.0,13900.0,795208.3333333334,992.8571428571429,0.2314187981106498,0.7094520458881513
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,2,2;3;5;6;10;13;14;16;21;22;23;25,1;0;4;7;8;9;11;12;15;17;18;19;20;24,12,14,24876825.0,401793.0,2073068.75,28699.5,0.44513740730252616,0.6009288551471852
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,3,2;3;5;6;10;13;14;16;21;22;23;25,1;0;4;7;8;9;11;12;15;17;18;19;20;24,12,14,21213896.0,582341.0,1767824.6666666667,41595.78571428572,0.2653600258235294,0.6050273999950282
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,4,2;3;5;6;10;13;14;16;21;22;23;25,0;1;4;7;8;9;11;12;15;17;18;19;20;24,12,14,17990885.0,224684.0,1499240.4166666667,16048.857142857143,0.21384531451531727,0.6198405778313714
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,5,2;3;5;6;10;13;14;16;21;22;23;25,1;0;4;7;8;9;11;12;15;17;18;19;20;24,12,14,21181640.0,1145305.0,1765136.6666666667,81807.5,0.3381898039606159,0.6085551580449151
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,6,2;3;5;6;10;13;14;16;21;22;23;25,1;0;4;7;8;9;11;12;15;17;18;19;20;24,12,14,12630830.0,803098.0,1052569.1666666667,57364.142857142855,0.27664000116544885,0.5852355406239893
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,7,2;3;5;6;10;13;14;16;21;22;23;25,1;0;4;7;8;9;11;12;15;17;18;19;20;24,12,14,26563221.0,599445.0,2213601.75,42817.5,0.2476490907879246,0.5834724736213284
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,8,2;3;5;6;10;13;14;16;21;22;23;25,1;0;4;7;8;9;11;12;15;17;18;19;20;24,12,14,28285747.0,1083374.0,2357145.5833333335,77383.85714285714,0.31820071453589466,0.5824553210903114
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,9,2;3;5;6;10;13;14;16;21;22;23;25,0;1;4;7;8;9;11;12;15;17;18;19;20;24,12,14,46885168.0,992916.0,3907097.3333333335,70922.57142857143,0.3106518603466363,0.6057158434005538
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,10,2;3;5;6;10;13;14;16;21;22;23;25,0;1;4;7;8;9;11;12;15;17;18;19;20;24,12,14,65589560.0,1273452.0,5465796.666666667,90960.85714285714,0.3959167070860325,0.5925483151983457
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,11,2;3;5;6;10;13;14;16;21;22;23;25,0;1;4;7;8;9;11;12;15;17;18;19;20;24,12,14,77253596.0,1343698.0,6437799.666666667,95978.42857142857,0.3115284651138875,0.5761136492544849
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,12,2;3;5;6;10;13;14;16;21;22;23;25,0;1;4;7;8;9;11;12;15;17;18;19;20;24,12,14,127000000.0,1272739.0,10583333.333333334,90909.92857142857,0.3382443293922029,0.5606107787555901
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,13,2;3;5;6;10;13;14;16;21;22;23;25,1;0;4;7;8;9;11;12;15;17;18;19;20;24,12,14,142818181.0,1241944.0,11901515.083333334,88710.28571428571,0.3074974850751354,0.5521430645074554
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,14,2;3;5;6;10;13;14;16;21;22;23;25,0;1;4;7;8;9;11;12;15;17;18;19;20;24,12,14,150818181.0,1332874.0,12568181.75,95205.28571428571,0.3098649293493605,0.5523741148223194
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,15,2;3;5;6;10;13;14;16;21;22;23;25,1;0;4;7;8;9;11;12;15;17;18;19;20;24,12,14,172148759.0,1292120.0,14345729.916666666,92294.28571428571,0.3098809226429864,0.5556181846160224
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,16,2;3;5;6;10;13;14;16;21;22;23;25,1;0;4;7;8;9;11;12;15;17;18;19;20;24,12,14,213333575.0,1098020.0,17777797.916666668,78430.0,0.31212704833729665,0.5762147273036715
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,17,2;3;5;6;10;13;14;16;21;22;23;25,0;1;4;7;8;9;11;12;15;17;18;19;20;24,12,14,183606104.0,2893967.0,15300508.666666666,206711.92857142858,0.3968002197664389,0.5779224063985327
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,18,2;3;5;6;10;13;14;16;21;22;23;25,1;0;4;7;8;9;11;12;15;17;18;19;20;24,12,14,233663976.0,1268345.0,19471998.0,90596.07142857143,0.25348789280503237,0.5980325901203103
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,19,2;3;5;6;10;13;14;16;21;22;23;25,1;0;4;7;8;9;11;12;15;17;18;19;20;24,12,14,211474196.0,1125576.0,17622849.666666668,80398.28571428571,0.1813050885729482,0.5966694195010032
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,20,2;3;5;6;10;13;14;16;21;22;23;25,1;0;4;7;8;9;11;12;15;17;18;19;20;24,12,14,201445972.0,1727693.0,16787164.333333332,123406.64285714286,0.28330372770353396,0.599718426461546
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,21,2;3;5;6;10;13;14;16;21;22;23;25,1;0;4;7;8;9;11;12;15;17;18;19;20;24,12,14,205276398.0,1042351.0,17106366.5,74453.64285714286,0.18578094577271195,0.6068502128382123
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,22,2;3;5;6;10;13;14;16;21;22;23;25,0;1;4;7;8;9;11;12;15;17;18;19;20;24,12,14,315602684.0,1078953.0,26300223.666666668,77068.07142857143,0.28579839116104133,0.6220062558420887
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,23,2;3;5;6;10;13;14;16;21;22;23;25,0;1;4;7;8;9;11;12;15;17;18;19;20;24,12,14,278218237.0,968834.0,23184853.083333332,69202.42857142857,0.3263443472866455,0.6398157781531102
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,24,2;3;5;6;10;13;14;16;21;22;23;25,0;1;4;7;8;9;11;12;15;17;18;19;20;24,12,14,193252400.0,614502.0,16104366.666666666,43893.0,0.164727989217342,0.6417053912626989
