corpus,term,tfidf
SI,contribution,0.3324244035839333
SI,strategy,0.309148727210911
SI,developed,0.30700034024675743
SI,treaty,0.3019675477836958
SI,high,0.27990492869096
SI,contributors,0.24290257138000154
SI,climate,0.21664283393351488
SI,countries,0.216046021718822
SI,ldf,0.21544920950412913
SI,binding,0.21485239728943625
SI,defaults,0.21485239728943625
SI,mode,0.21485239728943625
SI,peers,0.20351296521027154
SI,institution,0.16412335904054157
SI,follow,0.15636480024953414
SI,contribute,0.1307018750177404
SI,amount,0.11399113300633978
SI,low,0.07818240012476707
SI,payoff,0.07698877569538132
SI,moderate,0.07639196348068844
SI,mcpr,0.07102065354845254
SI,cooperate,0.06027803368398072
SI,mostly,0.056697160395823454
SI,considering,0.05550353596643769
SI,sfi,0.05490672375174482
SI,previous,0.05311628710766618
SI,maximize,0.050729038248894666
SI,following,0.04834178939012315
SI,cumulative,0.04535772831665876
SI,self,0.04297047945788725
SFI,contribution,0.3099857681462548
SFI,developing,0.302804045639609
SFI,non,0.2944122476080263
SFI,agreement,0.2937129311053944
SFI,high,0.2512725728954393
SFI,contributors,0.2477895867364926
SFI,ldf,0.2094767389880791
SFI,climate,0.20897916953680098
SFI,binding,0.20897916953680098
SFI,mode,0.20897916953680098
SFI,countries,0.20897916953680098
SFI,defaults,0.20897916953680098
SFI,institution,0.19554479435229236
SFI,peers,0.19056909983951137
SFI,sfi,0.18012014136267132
SFI,contribute,0.1637003494704941
SFI,low,0.13036319623486156
SFI,strategy,0.11493854324524054
SFI,moderate,0.09503576519411663
SFI,amount,0.09205034848644805
SFI,follow,0.08806979287622327
SFI,cooperate,0.08558194561983279
SFI,mostly,0.08508437616855469
SFI,needs,0.07902276479740374
SFI,incentives,0.0621961814097622
SFI,resilience,0.0573439532158151
SFI,immediate,0.05423507018931264
SFI,mcpr,0.052244792384200246
SFI,long,0.052244792384200246
SFI,balance,0.052244792384200246
