term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
self-interest,63,4,2.8958307164960067,5.62273848450077
significant,66,18,1.4376892786307156,5.407984251631023
payoff,126,65,0.8059491918658033,5.277896052474978
strategy,101,46,0.9281151118097704,5.218214617239524
maximize,85,35,1.027105535124039,5.114690065293865
cumulative,76,30,1.0680219196648046,4.9539843479916135
emissions,29,6,1.7057776028672205,3.8060583078585966
considering,93,59,0.5914031806033799,3.5535376506739036
high,111,75,0.5295251668955379,3.54280639398102
institution,140,105,0.42598481003330146,3.299804438624438
chosen,70,46,0.5529709895691379,2.913681473087642
substantial,19,5,1.4626134034945277,2.9124130531233017
reduction,19,6,1.280386155783976,2.7360599652524797
typical,22,9,1.0221060150939572,2.584326995280835
following,28,14,0.8221706863283451,2.5125203408715486
between,18,7,1.0719255395893175,2.4078910429913467
within,8,1,2.197798570822415,2.0814288160623726
individualism,8,1,2.197798570822415,2.0814288160623726
aligning,8,1,2.197798570822415,2.0814288160623726
selfish,8,1,2.197798570822415,2.0814288160623726
maximizing,13,5,1.0817404700198523,2.0573263840663474
maintaining,10,3,1.3287672209378316,2.021360154231702
peers,25,15,0.6388852749108711,1.956732815471641
choosing,16,8,0.8200781493847327,1.8948754230938316
mcpr,118,105,0.24888969694490726,1.855281216179962
contributors,13,6,0.8995132223093005,1.82380406595026
contribute,188,178,0.18854634397451697,1.8029279940066483
benefits,7,2,1.375752543801136,1.7194679825477017
account,8,3,1.1053323919453968,1.6349391965198892
seen,8,3,1.1053323919453968,1.6349391965198892
amount,191,185,0.16491797878000192,1.598778078392793
global,5,1,1.7277327780953007,1.5840098462378374
demonstrate,5,1,1.7277327780953007,1.5840098462378374
historical,31,23,0.4264249063442964,1.5497957488497054
avoid,14,8,0.6860941065196391,1.5488535559175978
maximum,22,15,0.5102917350155742,1.5244061580300319
individual,10,5,0.8187947265377744,1.496152877766658
return,17,11,0.5621079618279943,1.45322040613866
marginal,17,11,0.5621079618279943,1.45322040613866
reward,7,3,0.9717089432533248,1.4100827373141556
unit,12,7,0.6651123875589633,1.3993304766287098
set,4,1,1.5048179348110144,1.3516522548277028
commitment,4,1,1.5048179348110144,1.3516522548277028
gain,4,1,1.5048179348110144,1.3516522548277028
optimizing,8,4,0.8182429287560335,1.337576011359632
optimal,8,4,0.8182429287560335,1.337576011359632
current,14,9,0.5682112110733168,1.3305726792210626
per,15,10,0.5319392342191733,1.3035441829056145
requires,5,2,1.0393101997660938,1.2447826460655829
allowed,5,2,1.0393101997660938,1.2447826460655829
align,11,7,0.5779060207866156,1.196003620234882
index,6,3,0.8175256751859044,1.1577602003888965
reputation,7,4,0.6846194800639616,1.0934266390647767
follows,7,4,0.6846194800639616,1.0934266390647767
high-contributor,3,1,1.2176966757191785,1.0589367694555964
like,3,1,1.2176966757191785,1.0589367694555964
leveraging,3,1,1.2176966757191785,1.0589367694555964
fund,3,1,1.2176966757191785,1.0589367694555964
patterns,4,2,0.8163953564818076,0.9446534070154738
higher,4,2,0.8163953564818076,0.9446534070154738
free-rider,4,2,0.8163953564818076,0.9446534070154738
beliefs,16,13,0.33385712377354615,0.8944297947134964
decision,5,3,0.6352665992182827,0.8711058862493457
previous,86,86,0.1279257459961176,0.838913984860761
usd,6,4,0.5304362119965411,0.8226379234286316
credibility,32,0,8.205026169111752,0.820374483449488
billion,20,0,7.731948984934472,0.7730017687543301
wealth,12,10,0.30814974053214605,0.7200152443196313
advantage,9,0,6.9310719903835585,0.6927228867276676
stage,8,0,6.813157218055477,0.6808908288912535
trends,2,1,0.8136212954276756,0.6670794334680433
typically,2,1,0.8136212954276756,0.6670794334680433
endowment,2,1,0.8136212954276756,0.6670794334680433
stability,6,0,6.525350501295985,0.651992852237778
developed,6,0,6.525350501295985,0.651992852237778
selfish-institution,5,0,6.343091425328363,0.6336770455721144
support,5,0,6.343091425328363,0.6336770455721144
maintains,4,0,6.120176582044077,0.6112559682288715
close,4,0,6.120176582044077,0.6112559682288715
increase,4,0,6.120176582044077,0.6112559682288715
capacity,3,0,5.833055322952241,0.582338993880947
example,3,0,5.833055322952241,0.582338993880947
