agent_id,institution_choice,event_family,first_delta_prop,repeat_mean_delta_prop,n_repeat
0,SFI,gossip_target,0.0,-7.186967941471318e-06,7
0,SFI,bad_rep,-0.0117966728432488,0.018101223266316042,14
0,SFI,rep_drop,-0.0117966728432488,-0.0021612969106815996,6
1,SFI,gossip_target,-0.0010602815353986002,-8.956908596500026e-06,1
1,SFI,bad_rep,-0.0010602815353986002,-8.956908596500026e-06,1
1,SFI,rep_drop,-0.0010602815353986002,-1.2044444764050007e-05,2
2,SI,gossip_target,0.2504478072211477,-0.10745817020158843,2
2,SI,bad_rep,0.2504478072211477,-0.10541968540221147,1
2,SI,rep_drop,-0.5739957051718322,0.005741070028544443,5
3,SI,gossip_target,1.9351019146078439,-0.5723833891796694,6
3,SI,bad_rep,1.9351019146078439,-0.7325208907404547,4
3,SI,rep_drop,1.9351019146078439,-0.566947731674617,9
4,SFI,gossip_target,-0.11867954619036729,0.09317998998137725,5
4,SFI,bad_rep,-0.11867954619036729,0.09317998998137725,5
4,SFI,rep_drop,-0.11867954619036729,0.16990675211117665,4
5,SI,gossip_target,0.3777582977207765,0.037957208237819506,2
5,SI,bad_rep,0.3777582977207765,0.037957208237819506,2
5,SI,rep_drop,0.3777582977207765,0.09289164080290584,5
6,SI,gossip_target,-0.11508909232452749,-0.031021159972583943,2
6,SI,bad_rep,-0.11508909232452749,-0.018138955358912398,1
6,SI,rep_drop,-0.11508909232452749,-0.018337007858509276,3
7,SFI,gossip_target,0.0639337920272752,0.13565068502421462,6
7,SFI,bad_rep,0.0639337920272752,0.6274967115658023,7
7,SFI,rep_drop,0.0639337920272752,0.019674448342381457,7
8,SFI,gossip_target,0.7207404530566538,0.3297822923854958,4
8,SFI,bad_rep,0.7207404530566538,0.3297822923854958,4
8,SFI,rep_drop,0.7207404530566538,0.665830934596967,7
9,SFI,gossip_target,-7.621240474550518,-0.01113094784184189,2
9,SFI,bad_rep,-7.621240474550518,-0.30344370736779575,2
9,SFI,rep_drop,-7.621240474550518,-0.14596451768661334,8
10,SI,gossip_target,0.2326374384533273,-0.09986299803081354,2
10,SI,bad_rep,-0.0099173999943954,0.010970480797233407,3
10,SI,rep_drop,-0.0099173999943954,0.10315500829935967,7
11,SFI,gossip_target,0.0006684910741881073,,0
11,SFI,bad_rep,0.060714467852781694,,0
11,SFI,rep_drop,0.060714467852781694,-0.001937196457152601,3
12,SFI,gossip_target,0.0,0.1604153364250558,3
12,SFI,bad_rep,0.048285238416685604,0.12031150231879184,4
12,SFI,rep_drop,0.048285238416685604,-0.037683710399396816,8
13,SI,bad_rep,-0.0043349941524084,,0
13,SI,rep_drop,-0.003671224550237398,0.04948997498384537,5
14,SI,gossip_target,-0.5379506456905002,0.04602757465148871,7
14,SI,bad_rep,-0.5379506456905002,-0.06704162631117826,7
14,SI,rep_drop,-0.5379506456905002,-0.056684485515409534,6
15,SFI,gossip_target,0.4455254504983877,-1.1954835881896866,4
15,SFI,bad_rep,0.4455254504983877,-0.923648349393542,5
15,SFI,rep_drop,0.4455254504983877,-0.96076594493438,5
16,SI,gossip_target,-0.012430102650853897,-0.0398316873012553,1
16,SI,bad_rep,-0.0398316873012553,,0
16,SI,rep_drop,-0.0184518496687298,-0.026434913265387217,5
17,SFI,bad_rep,0.0646744543272821,,0
17,SFI,rep_drop,0.0646744543272821,-0.003618413467007275,4
18,SFI,gossip_target,-0.006610143555850101,-0.4271580918399461,5
18,SFI,bad_rep,-0.006610143555850101,-0.4271580918399461,5
18,SFI,rep_drop,-0.006610143555850101,-0.8940933082277208,3
19,SFI,bad_rep,-0.0012086287510834999,,0
19,SFI,rep_drop,-0.0012086287510834999,-0.0002064932363891,1
20,SFI,bad_rep,0.08812343748148639,-0.2629305153086986,1
20,SFI,rep_drop,0.08812343748148639,0.026427825595518414,4
21,SI,gossip_target,-0.12871084167246838,,0
21,SI,bad_rep,-0.12871084167246838,0.1609392708136948,1
21,SI,rep_drop,-1.9160162417731081,-0.017889856344990556,6
22,SI,gossip_target,0.052148189628074604,,0
22,SI,bad_rep,-0.2741690977484582,0.052148189628074604,1
22,SI,rep_drop,-0.0006924987929475997,-0.08627447981685842,3
23,SI,gossip_target,0.2971779761641524,-0.2663458122924711,1
23,SI,bad_rep,0.2971779761641524,0.021549989329409436,2
23,SI,rep_drop,0.2971779761641524,-0.27741322304145355,5
24,SFI,gossip_target,-0.04266100531561,-0.011347178484419403,4
24,SFI,bad_rep,0.04266100531561,-0.007981953143810018,6
24,SFI,rep_drop,0.04266100531561,-0.001447441056192139,5
25,SI,gossip_target,-0.32800760942122803,0.1246379048551523,1
25,SI,bad_rep,0.15419534452271688,-0.01883368355219686,2
25,SI,rep_drop,0.15419534452271688,-0.12189165884187392,3
