agent_id,agent_group,institution_choice,mean_contribution,mean_prop_wealth,median_prop_wealth,std_prop_wealth,zero_share,autocorr_prop_lag1,autocorr_contrib_lag1,mean_abs_dev_from_peer_prop,mean_change_abs_dev_prop,n_rounds
0,developing,SFI,61739.2,0.2356179058382602,0.0017703896486402498,0.3728130737625986,0.43333333333333335,0.8071303871573042,0.8134202968370813,0.3583057534159677,0.013259630758282712,30
1,developing,SFI,1031.0666666666666,0.0022131003450842363,0.0005805446028779,0.005370968080610133,0.03333333333333333,0.06103681522000714,0.028838425328010574,0.31664312460298677,0.015559335625855935,30
2,developed,SI,7744794.0,0.16299487498855933,0.0899627094115591,0.15906315326879145,0.03333333333333333,0.5397426699327486,0.9104130349771218,0.17680832010334793,-0.01616714926398381,30
3,developed,SI,16539711.833333334,0.4897002390583403,0.25426736926373417,0.7519225704326882,0.13333333333333333,-0.11886944816850638,0.03646825552421977,0.41355599052724873,-0.015062892561912108,30
4,developing,SFI,123968.7,0.4226693865582444,0.26332083220143976,0.6667906269013109,0.23333333333333334,-0.0071724097071359325,0.1918654667188948,0.3655774597441582,0.11815342642370415,30
5,developed,SI,9803714.533333333,0.19694215273431245,0.12324936423682155,0.18946290194968043,0.1,0.5543284717461315,0.7739452711547199,0.17123446362923897,-0.017799423252974667,30
6,developed,SI,12129301.1,0.3341562843136781,0.23239435216009974,0.44385559614035514,0.06666666666666667,0.16717827975041696,0.2987035755856614,0.2276574353094185,-0.01536559041474085,30
7,developing,SFI,103182.5,0.44047943727707417,0.19219313512114283,0.9544142022527444,0.3,-0.10986833853834418,-0.10112146383754857,0.4616484081931528,0.014988397887229313,30
8,developing,SFI,45703.1,0.2490378069073565,0.016146869312957703,0.8817350468566753,0.16666666666666666,0.2063703527964994,-0.019320882333648984,0.4785648339993662,0.014640257862203587,30
9,developing,SFI,113471.96666666666,0.529378282055166,0.21599641463288893,1.4830421263611024,0.1,-0.01579535334113007,-0.19389146954748288,0.48871592533382036,0.009587396257153723,30
10,developed,SI,10499201.066666666,0.2033133985426533,0.125221026211075,0.21125893379216304,0.1,0.39179452649707297,0.21450348394589516,0.21483674775775366,-0.01717976667304015,30
11,developing,SFI,28808.0,0.02287818399839425,0.0153845226626988,0.017211915629771927,0.03333333333333333,0.7604425586368441,0.7065567113432152,0.2938568984929326,0.014703685750918459,30
12,developing,SFI,137080.53333333333,0.462223232353866,0.044713408825912654,1.0807239253402445,0.16666666666666666,-0.039675013768074543,-0.04980538982606693,0.5391359698308331,0.00920473445109508,30
13,developed,SI,8715783.333333334,0.1296395272549077,0.0531069257978772,0.16782248181141257,0.0,0.10863366750550507,0.5843061652206852,0.21959004979424349,-0.016752235495502955,30
14,developed,SI,8782561.066666666,0.22078480419934704,0.1579831688668159,0.22353220545378988,0.13333333333333333,0.23491383123647672,0.6603731891299451,0.17439437988358172,-0.0021100207364079054,30
15,developing,SFI,124073.4,0.5786948218385526,0.1927376656716423,0.9817622311080056,0.2,-0.1463134430528329,-0.14675815460947317,0.5586794684538827,0.0408384838131309,30
16,developed,SI,7431906.666666667,0.12485217380622582,0.0838288949129026,0.111340324430483,0.0,0.742120505738945,0.9040402941363674,0.18462615048967165,-0.00047155826998384183,30
17,developing,SFI,28808.0,0.023710401676056824,0.01561924229405585,0.018338575930872136,0.03333333333333333,0.7600338405410795,0.7065567113432152,0.29296066407083443,0.014700751755363417,30
18,developing,SFI,121146.73333333334,0.5375354580965059,0.0956767547650217,1.1433591298223895,0.23333333333333334,-0.091675219838261,-0.057388335158745606,0.5839585671026406,0.012617152978325693,30
19,developing,SFI,1033.3666666666666,0.0010792783218110333,0.00054201689981425,0.001218088101357954,0.03333333333333333,0.6547675419747377,,0.31733264306771464,0.015026490559138132,30
20,developing,SFI,152432.86666666667,0.6028192786680953,0.45913526102340935,0.7564064721347402,0.06666666666666667,-0.030297023146269846,-0.07098997340261023,0.4437992253923155,0.004091365005178075,30
21,developed,SI,15373963.1,0.42518095266312084,0.35680773726224924,0.3874170282287901,0.0,-0.11670832326031082,0.88923415648974,0.2101743768050133,-0.006584573059722445,30
22,developed,SI,14751046.933333334,0.31664594596942436,0.20078562331178507,0.4829647753250061,0.03333333333333333,0.048093412874388064,0.2409673299230446,0.2567848118608311,-0.016856287870181418,30
23,developed,SI,16177815.5,0.4694447770251339,0.24264316780727468,0.8130369390116374,0.06666666666666667,-0.061451609220588004,0.1520268905643054,0.36020770021712667,-0.09550825542277745,30
24,developing,SFI,96438.86666666667,0.03209768245117674,0.0402918232456852,0.018173155084409108,0.23333333333333334,0.22926802849864586,0.4529189211549191,0.2839282078514746,0.013608295027104268,30
25,developed,SI,15728600.566666666,0.41246395420480547,0.31304887299332834,0.5005495574876959,0.1,0.05774595994010907,0.29963142029539813,0.3074265076474083,-0.015607330097650722,30
