corpus,n_blocks,n_agents,n_rounds,total_tokens,mean_block_chars,mean_block_tokens,missing_empty_text
SI_all,2168,12,30,16309,85.55719557195572,7.52260147601476,0
SFI_all,1686,14,30,11162,73.75563463819691,6.6204033214709375,0
SI_contribution,360,12,30,3702,121.12222222222222,10.283333333333333,0
SFI_contribution,420,14,30,4196,112.27380952380952,9.99047619047619,0
SI_proposal_reason,8,7,5,104,150.125,13.0,0
SFI_proposal_reason,6,5,5,83,158.16666666666666,13.833333333333334,0
SI_post_shock,48,12,4,495,120.4375,10.3125,0
SFI_post_shock,56,14,4,568,116.89285714285714,10.142857142857142,0
SI_post_gossip,35,11,18,367,127.05714285714286,10.485714285714286,0
SFI_post_gossip,52,11,25,534,113.07692307692308,10.26923076923077,0
SI_post_badrep,36,12,18,382,126.44444444444444,10.61111111111111,0
SFI_post_badrep,68,14,24,707,115.57352941176471,10.397058823529411,0
SI_shared_kinds,1440,12,30,9567,74.06388888888888,6.64375,0
SFI_shared_kinds,1680,14,30,11079,73.45416666666667,6.5946428571428575,0
