round_number,institution_choice,n,zero_share,n_zeros,mean_prop
1,SFI,14,0.7142857142857143,10,0.021760913151822235
1,SI,12,0.3333333333333333,4,0.47601818308310634
2,SFI,14,0.2857142857142857,4,0.6024716203008716
2,SI,12,0.0,0,0.26156911152582263
3,SFI,14,0.14285714285714285,2,0.1487183543183415
3,SI,12,0.08333333333333333,1,0.40144185116257997
4,SFI,14,0.35714285714285715,5,0.10471421282467457
4,SI,12,0.25,3,0.3411645777971628
5,SFI,14,0.35714285714285715,5,0.3309987752713039
5,SI,12,0.08333333333333333,1,0.3465790035219203
6,SFI,14,0.21428571428571427,3,0.40476070042153484
6,SI,12,0.4166666666666667,5,0.12716204200723671
7,SFI,14,0.21428571428571427,3,0.23828679968826375
7,SI,12,0.08333333333333333,1,0.2585697438629225
8,SFI,14,0.0,0,0.3816504321076405
8,SI,12,0.0,0,0.24417602941291114
9,SFI,14,0.14285714285714285,2,0.22290183370066888
9,SI,12,0.0,0,0.4130267646328123
10,SFI,14,0.07142857142857142,1,0.4056144713195512
10,SI,12,0.0,0,0.3846013842860642
11,SFI,14,0.0,0,0.2810198771539361
11,SI,12,0.0,0,0.3471206730399159
12,SFI,14,0.0,0,0.2786613283249329
12,SI,12,0.0,0,0.40775680156229566
13,SFI,14,0.0,0,0.2605446615916116
13,SI,12,0.0,0,0.3622754326134303
14,SFI,14,0.07142857142857142,1,0.3037335725170035
14,SI,12,0.0,0,0.31701710591479043
15,SFI,14,0.07142857142857142,1,0.3170409235277774
15,SI,12,0.0,0,0.30152656862493094
16,SFI,14,0.07142857142857142,1,0.25510026747741055
16,SI,12,0.0,0,0.3786575044069884
17,SFI,14,0.14285714285714285,2,0.5290522341826837
17,SI,12,0.0,0,0.24250497932712023
18,SFI,14,0.07142857142857142,1,0.1715660253324882
18,SI,12,0.0,0,0.3490632098954222
19,SFI,14,0.14285714285714285,2,0.1512005647464689
19,SI,12,0.0,0,0.21642676531129687
20,SFI,14,0.14285714285714285,2,0.3626633844653246
20,SI,12,0.0,0,0.19071695402613287
21,SFI,14,0.14285714285714285,2,0.17960713591691801
21,SI,12,0.0,0,0.19298362731506058
22,SFI,14,0.14285714285714285,2,0.21638446407870512
22,SI,12,0.0,0,0.36678124615447305
23,SFI,14,0.21428571428571427,3,0.2922802055841466
23,SI,12,0.08333333333333333,1,0.3660837836194311
24,SFI,14,0.35714285714285715,5,0.1549891442545423
24,SI,12,0.25,3,0.17608896795869575
25,SFI,14,0.21428571428571427,3,0.473267603489937
25,SI,12,0.16666666666666666,2,0.1265476536377884
26,SFI,14,0.07142857142857142,1,0.4341466924343965
26,SI,12,0.08333333333333333,1,0.404392786604401
27,SFI,14,0.14285714285714285,2,0.3384898573420327
27,SI,12,0.0,0,0.4070093029293161
28,SFI,14,0.07142857142857142,1,0.42352188215705766
28,SI,12,0.0,0,0.1843636709581018
29,SFI,14,0.21428571428571427,3,0.1605431385234528
29,SI,12,0.0,0,0.06254866205524943
30,SFI,14,0.07142857142857142,1,0.42666804462088076
30,SI,12,0.08333333333333333,1,0.061123324653891496
