agent_id,payout_round,payout,next_round,next_prop,baseline_prev3_prop,delta_vs_baseline
0,5,20250.0,6,0.0026578431341905,0.003932224281082934,-0.0012743811468924338
0,10,40500.0,11,0.4246179752516467,0.39085308694757237,0.033764888304074314
1,5,20250.0,6,0.0027509868333498,0.0045381696621754,-0.0017871828288256002
1,10,40500.0,11,0.0010867753283207,0.0019126022442748332,-0.0008258269159541333
4,5,20250.0,6,0.0,0.09921191018606217,-0.09921191018606217
4,10,40500.0,11,0.6123980510344539,0.16031615345593475,0.45208189757851913
7,5,20250.0,6,0.0,0.03058111002105827,-0.03058111002105827
7,10,40500.0,11,0.6447703475398141,1.2801679368840484,-0.6353975893442343
8,5,20250.0,6,4.693819167544251,0.24198528868741118,4.4518338788568395
8,10,40500.0,11,0.0606994946649641,0.5102055504898871,-0.44950605582492303
9,5,20250.0,6,0.0,3.2356637319482915,-3.2356637319482915
9,10,40500.0,11,0.5149304450345219,0.3599568298676575,0.15497361516686442
11,5,20250.0,6,0.0478999061755787,0.04290034169978107,0.004999564475797635
11,10,40500.0,11,0.0282873888604862,0.0403481707799086,-0.012060781919422399
12,5,20250.0,6,0.0392957349353995,0.03417703247453573,0.005118702460863767
12,10,40500.0,11,0.0250460722224586,0.03402422330357067,-0.008978151081112069
15,5,20250.0,6,0.1936002540793027,0.14850848349946258,0.045091770579840124
15,10,40500.0,11,0.5065985180690663,0.14029561774787896,0.36630290032118734
17,5,20250.0,6,0.0502490589332213,0.045726754742738206,0.004522304190483092
17,10,40500.0,11,0.0290905324436877,0.042018157107900043,-0.012927624664212344
18,5,20250.0,6,0.0280976579343499,0.04748169473173617,-0.01938403679738627
18,10,40500.0,11,0.4755507795160441,0.2087103026972241,0.26684047681881995
19,5,20250.0,6,0.0020616416243653,0.004175392593189966,-0.002113750968824666
19,10,40500.0,11,0.000959971288353,0.0015448828911119002,-0.0005849116027589002
20,5,20250.0,6,0.5660595543170532,0.04111707177208116,0.5249424825449721
20,10,40500.0,11,0.564990447625789,0.7461591031855971,-0.1811686555598081
24,5,20250.0,6,0.0401580003904275,0.014220335105203333,0.02593766528522417
24,10,40500.0,11,0.0452514812754997,0.0167363547147749,0.0285151265607248
