run,source_file,round_number,agent_id,agent_group,institution_choice,stage1_payoff,stage2_payoff,payoff,cumulative_payoff,wealth
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,0,developing,SFI,1588.5714285714287,0.0,1588.5714285714287,45768.57142857143,45768.57142857143
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,1,developing,SFI,588.5714285714287,0.0,588.5714285714287,34288.57142857143,34288.57142857143
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,2,developed,SI,1242333.3333333333,-354.0,1241979.3333333333,1845699.3333333333,1845699.3333333333
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,3,developed,SI,1272333.3333333333,-6420.0,1265913.3333333333,1875073.3333333333,1875073.3333333333
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,4,developing,SFI,1488.5714285714287,0.0,1488.5714285714287,3608.5714285714284,3608.5714285714284
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,5,developed,SI,1272333.3333333333,-8506.0,1263827.3333333333,5953827.333333333,5953827.333333333
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,6,developed,SI,1072333.3333333333,-1650.0,1070683.3333333333,3450683.333333333,3450683.333333333
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,7,developing,SFI,1588.5714285714287,0.0,1588.5714285714287,26998.571428571428,26998.571428571428
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,8,developing,SFI,1588.5714285714287,0.0,1588.5714285714287,365088.5714285714,365088.5714285714
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,9,developing,SFI,1588.5714285714287,0.0,1588.5714285714287,381648.5714285714,381648.5714285714
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,10,developed,SI,1272333.3333333333,-8715.0,1263618.3333333333,2200178.333333333,2200178.333333333
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,11,developing,SFI,1588.5714285714287,0.0,1588.5714285714287,409378.5714285714,409378.5714285714
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,12,developing,SFI,1588.5714285714287,0.0,1588.5714285714287,534288.5714285715,534288.5714285715
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,13,developed,SI,1249833.3333333333,-1465.0,1248368.3333333333,29998368.333333332,29998368.333333332
20260731_013853,results/To_Use/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed1_26agents_30rounds_20260731_013853.json,1,14,developed,SI,392333.33333333326,1643.0,393976.33333333326,2153976.333333333,2153976.333333333
