round_number,n_si,share_agents_with_positive_enforcement,mean_cost_among_spenders,corr_prop_vs_enforcement_cost,top_quartile_prop_share_of_cost,total_enforcement_tokens
1,12,1.0,1137.25,0.8385502587482395,0.5001099142668718,13647.0
2,12,1.0,613.1666666666666,0.5612493017535812,0.6901331883664039,7358.0
3,12,1.0,23394.416666666668,0.8812070523013262,0.9143705941232416,280733.0
4,12,1.0,24561.666666666668,-0.08768785734034612,0.008142769898893941,294740.0
5,12,1.0,44094.916666666664,-0.1516487456053306,0.0007956321495864036,529139.0
6,12,1.0,1901.0833333333333,0.3021074585182743,0.3300749572612107,22813.0
7,12,1.0,38900.416666666664,0.3536202286147457,0.9390666338192607,466805.0
8,12,1.0,4299.166666666667,0.7033091495690872,0.6518705175421593,51590.0
9,12,1.0,8533.333333333334,-0.23493767442298205,0.106494140625,102400.0
10,12,1.0,118130.58333333333,-0.33342618635048427,0.0009001338208352762,1417567.0
11,12,1.0,98356.41666666667,0.2993723132426982,0.5053093468736576,1180277.0
12,12,1.0,230789.33333333334,0.12691114635984935,0.066804430591824,2769472.0
13,12,1.0,5647.5,0.059736911024704915,0.3567950420540062,67770.0
14,12,1.0,153793.33333333334,0.24196911672225252,0.8432853613073822,1845520.0
15,12,1.0,3623.8333333333335,-0.45867704709147494,0.07436876236029986,43486.0
16,12,1.0,3805.9166666666665,-0.29066452863400966,0.1482779006371658,45671.0
17,12,1.0,2625.0833333333335,0.35014862203759917,0.6262023427827688,31501.0
18,12,1.0,530.5,-0.18682356352953808,0.011153000314169022,6366.0
19,12,1.0,1387.4166666666667,-0.3322063088732936,0.07393837467715779,16649.0
20,12,1.0,3003.0833333333335,-0.3820668355797686,0.03574104392707495,36037.0
21,12,1.0,2496.8333333333335,0.2530304863469219,0.44830118149656234,29962.0
22,12,1.0,1501.3333333333333,0.9399350141982434,0.9547069271758437,18016.0
23,12,1.0,1244.3333333333333,-0.05825801038093859,0.021229574069113313,14932.0
24,12,1.0,165614.66666666666,0.47765120921286236,0.9628771807649886,1987376.0
25,12,1.0,2742.9166666666665,-0.1718060489225174,0.04678717909767583,32915.0
26,12,1.0,4132.083333333333,0.46710595095085605,0.37410507209841687,49585.0
27,12,1.0,168613.83333333334,-0.12953604360855658,0.00014184284998364113,2023366.0
28,12,1.0,3630.8333333333335,-0.019645763768362846,0.18212072526968098,43570.0
29,12,1.0,3746.3333333333335,-0.41189305662638664,0.0007785390159266839,44956.0
30,12,1.0,61.666666666666664,0.5268803024311933,0.6945945945945946,740.0
