agent_id,mean_prop,total_enforcement_tokens,mean_enforcement,frac_rounds_enforcing
2,0.16299487498855933,2324161.0,77472.03333333334,1.0
3,0.48970023905834037,1207038.0,40234.6,1.0
5,0.1969421527343124,93744.0,3124.8,1.0
6,0.33415628431367816,1048272.0,34942.4,1.0
10,0.2033133985426533,582917.0,19430.566666666666,1.0
13,0.1296395272549077,141416.0,4713.866666666667,1.0
14,0.220784804199347,2058635.0,68621.16666666667,1.0
16,0.12485217380622582,46830.0,1561.0,1.0
21,0.42518095266312084,172841.0,5761.366666666667,1.0
22,0.3166459459694243,1236875.0,41229.166666666664,1.0
23,0.4694447770251339,120283.0,4009.4333333333334,1.0
25,0.41246395420480547,4441947.0,148064.9,1.0
